date,security,side,jq_quantity,jq_price,local_filled_quantity,local_filled_price,order_intent_buy_target,order_intent_sell_target,rejection_reason,alignment
2026-05-14,600561.XSHG,buy,2900,7.03,2900,7.03,,,,MATCH
2026-05-14,301167.XSHE,buy,1200,17.73,1200,17.73,,,,MATCH
2026-05-14,600697.XSHG,buy,1700,12.44,1700,12.44,,,,MATCH
2026-05-14,600493.XSHG,buy,2800,7.37,2800,7.37,,,,MATCH
2026-05-14,300535.XSHE,buy,1000,18.53,1000,18.53,,,,MATCH
2026-05-19,301098.XSHE,buy,2000,10.66,2000,10.66,,,,MATCH
2026-05-19,600455.XSHG,buy,700,29.71,700,29.71,,,,MATCH
2026-05-19,300665.XSHE,sell,300,9.85,400,9.85,,,,LOCAL=400
2026-05-19,300929.XSHE,buy,1500,14.0,1500,14.0,,,,MATCH
2026-05-19,300417.XSHE,buy,1300,15.23,1300,15.23,,,,MATCH
2026-05-19,300405.XSHE,buy,2700,7.28,2800,7.28,,,,LOCAL=2800
2026-05-19,600561.XSHG,buy,3100,6.94,3100,6.94,,,,MATCH
2026-05-19,301167.XSHE,buy,1200,17.52,1200,17.52,,,,MATCH
2026-05-19,600697.XSHG,buy,1600,12.48,1600,12.48,,,,MATCH
2026-05-19,600493.XSHG,buy,2700,7.4,2700,7.4,,,,MATCH
2026-05-19,300535.XSHE,buy,1100,18.56,1100,18.56,,,,MATCH
2026-05-22,301098.XSHE,buy,1900,10.3,1900,10.3,,,,MATCH
2026-05-22,600455.XSHG,buy,600,28.62,600,28.62,,,,MATCH
2026-05-22,300929.XSHE,buy,1600,13.25,1600,13.25,,,,MATCH
2026-05-22,300417.XSHE,buy,1400,14.48,1400,14.48,,,,MATCH
2026-05-22,300405.XSHE,buy,100,6.87,100,6.87,,,,MATCH
2026-05-22,600561.XSHG,buy,3000,6.61,3000,6.61,,,,MATCH
2026-05-22,301167.XSHE,buy,1200,16.48,1200,16.48,,,,MATCH
2026-05-22,600697.XSHG,buy,1700,11.87,1700,11.87,,,,MATCH
2026-05-22,600493.XSHG,buy,2900,7.01,2900,7.01,,,,MATCH
2026-05-22,300535.XSHE,buy,1100,17.65,1100,17.65,,,,MATCH
2026-05-22,603879.XSHG,buy,3600,5.34,3600,5.34,,,,MATCH
2026-05-27,300665.XSHE,sell,2300,9.84,0,,,,limit down,LOCAL=0
2026-05-27,300417.XSHE,sell,1100,14.17,0,,,,limit down,LOCAL=0
2026-05-27,300405.XSHE,sell,2800,6.92,0,,,,limit down,LOCAL=0
2026-05-27,600561.XSHG,buy,100,6.48,0,,,,limit down,LOCAL=0
2026-05-27,301167.XSHE,buy,100,16.01,0,,,,limit down,LOCAL=0
2026-05-27,600697.XSHG,buy,100,11.63,0,,,,limit down,LOCAL=0
2026-05-27,300500.XSHE,sell,1600,11.36,0,,,,limit down,LOCAL=0
2026-05-27,600493.XSHG,buy,3000,6.81,0,,,,,LOCAL=0
2026-05-27,300535.XSHE,buy,1100,17.42,0,,,,,LOCAL=0
