date,sequence,security,side,jq_quantity,local_requested_quantity,local_filled_quantity,jq_price,local_price,local_order_status,local_rejection_reason,alignment_status
2026-06-04,7,300605.XSHE,buy,1600,0,0,10.83,,NOT_FOUND,,MISSING
2026-06-09,0,301098.XSHE,buy,100,0,0,8.26,,REJECTED,limit down,DIVERGENCE
2026-06-09,1,600697.XSHG,sell,1600,0,0,11.1,,REJECTED,limit down,DIVERGENCE
2026-06-09,2,600493.XSHG,sell,200,0,0,6.19,,REJECTED,limit down,DIVERGENCE
2026-06-09,3,603879.XSHG,buy,3600,0,0,4.8,,REJECTED,limit down,DIVERGENCE
2026-06-09,4,301098.XSHE,buy,100,0,0,8.26,,REJECTED,limit down,DIVERGENCE
2026-06-12,0,301098.XSHE,sell,2200,0,0,8.74,,REJECTED,limit down,DIVERGENCE
2026-06-12,1,300417.XSHE,buy,300,0,0,11.52,,REJECTED,limit down,DIVERGENCE
2026-06-12,2,300405.XSHE,buy,2700,0,0,6.01,,REJECTED,limit down,DIVERGENCE
2026-06-12,3,600697.XSHG,sell,1500,0,0,10.76,,REJECTED,limit down,DIVERGENCE
2026-06-12,4,600493.XSHG,buy,100,0,0,6.04,,REJECTED,limit down,DIVERGENCE
2026-06-12,5,603879.XSHG,sell,100,0,0,4.8,,REJECTED,limit down,DIVERGENCE
2026-06-12,6,300605.XSHE,buy,1600,0,0,10.36,,NOT_FOUND,,MISSING
2026-06-17,0,301098.XSHE,sell,1800,0,0,8.21,,REJECTED,limit down,DIVERGENCE
2026-06-17,1,300417.XSHE,buy,1300,0,0,11.44,,REJECTED,limit down,DIVERGENCE
2026-06-17,2,603879.XSHG,sell,3700,0,0,4.79,,REJECTED,limit down,DIVERGENCE
2026-06-17,3,300605.XSHE,sell,1600,0,0,10.46,,NOT_FOUND,,MISSING
2026-06-17,4,300886.XSHE,buy,700,0,0,22.26,,NOT_FOUND,,MISSING
2026-06-17,5,300417.XSHE,buy,100,0,0,11.44,,REJECTED,limit down,DIVERGENCE
2026-06-17,6,300405.XSHE,buy,2700,0,0,6.0,,REJECTED,limit down,DIVERGENCE
2026-06-23,0,301098.XSHE,sell,200,0,0,8.82,,REJECTED,limit down,DIVERGENCE
2026-06-23,1,300929.XSHE,sell,200,0,0,11.3,,REJECTED,limit down,DIVERGENCE
2026-06-23,2,300417.XSHE,buy,100,0,0,11.11,,REJECTED,limit down,DIVERGENCE
2026-06-23,3,300405.XSHE,buy,700,0,0,5.78,,REJECTED,limit down,DIVERGENCE
2026-06-23,4,300535.XSHE,sell,100,0,0,14.82,,REJECTED,limit down,DIVERGENCE
2026-06-23,5,603879.XSHG,sell,3300,0,0,4.61,,REJECTED,limit down,DIVERGENCE
2026-06-23,6,300605.XSHE,sell,1600,0,0,10.35,,NOT_FOUND,,MISSING
2026-06-23,7,300886.XSHE,buy,100,0,0,21.69,,NOT_FOUND,,MISSING
2026-06-23,8,600493.XSHG,buy,200,0,0,5.76,,REJECTED,limit down,DIVERGENCE
2026-06-23,9,300405.XSHE,buy,2300,0,0,5.78,,REJECTED,limit down,DIVERGENCE
2026-06-23,10,600697.XSHG,buy,1500,0,0,10.32,,REJECTED,limit down,DIVERGENCE
