record_date,record_time,snapshot_type,source_sequence,source_line_no,available_cash,total_asset,reported_position_market_value,calculated_position_market_value,cash_ratio,raw_security_code,normalized_security_code,security_name,position_quantity,available_quantity,cost_basis,market_price,market_value,is_defensive_etf,pnl,raw_text,parse_status
2026-05-12,,position,0,69,,,394305.0,,,300929.XSHE,300929.XSHE,华骐环保,2700,,,14.14,38178.0,False,-1007.0,"华骐环保(300929.XSHE)	2700股	14.14	38,178.00	-1,007.00",parsed
2026-05-12,,position,0,70,,,394305.0,,,600493.XSHG,600493.XSHG,凤竹纺织,2600,,,7.37,19162.0,False,-780.0,"凤竹纺织(600493.XSHG)	2600股	7.37	19,162.00	-780.00",parsed
2026-05-12,,cash_summary,0,71,608407.0,,394305.0,,,,,Cash,,,,,608407.0,False,608407.0,"Cash	 	 	608,407.00	0.00",parsed
2026-05-12,,total_summary,0,72,,1002712.0,394305.0,,,,,Total,,,,,1002712.0,False,,"总共:1,002,712.00	2,812.00",parsed
2026-05-13,,position,0,74,,,393734.0,,,300665.XSHE,300665.XSHE,飞鹿股份,4400,,,9.18,40392.0,False,1523.0,"飞鹿股份(300665.XSHE)	4400股	9.18	40,392.00	1,523.00",parsed
2026-05-13,,position,0,75,,,393734.0,,,301098.XSHE,301098.XSHE,金埔园林,4100,,,10.52,43132.0,False,3313.0,"金埔园林(301098.XSHE)	4100股	10.52	43,132.00	3,313.00",parsed
2026-05-13,,position,0,76,,,393734.0,,,300405.XSHE,300405.XSHE,科隆股份,5600,,,7.24,40544.0,False,700.0,"科隆股份(300405.XSHE)	5600股	7.24	40,544.00	700.00",parsed
2026-05-13,,position,0,77,,,393734.0,,,600561.XSHG,600561.XSHG,江西长运,5600,,,6.94,38864.0,False,-896.0,"江西长运(600561.XSHG)	5600股	6.94	38,864.00	-896.00",parsed
2026-05-13,,position,0,78,,,393734.0,,,600697.XSHG,600697.XSHG,欧亚集团,3100,,,12.42,38502.0,False,-1002.0,"欧亚集团(600697.XSHG)	3100股	12.42	38,502.00	-1,002.00",parsed
2026-05-13,,position,0,79,,,393734.0,,,301167.XSHE,301167.XSHE,建研设计,2200,,,17.63,38786.0,False,-616.0,"建研设计(301167.XSHE)	2200股	17.63	38,786.00	-616.00",parsed
2026-05-13,,position,0,80,,,393734.0,,,300500.XSHE,300500.XSHE,启迪设计,1600,,,12.18,19488.0,False,432.0,"启迪设计(300500.XSHE)	1600股	12.18	19,488.00	432.00",parsed
2026-05-13,,position,0,81,,,393734.0,,,600455.XSHG,600455.XSHG,博通股份,1300,,,28.89,37557.0,False,-27.0,"博通股份(600455.XSHG)	1300股	28.89	37,557.00	-27.00",parsed
2026-05-13,,position,0,82,,,393734.0,,,300417.XSHE,300417.XSHE,南华仪器,2600,,,15.13,39338.0,False,810.0,"南华仪器(300417.XSHE)	2600股	15.13	39,338.00	810.00",parsed
2026-05-13,,position,0,83,,,393734.0,,,300929.XSHE,300929.XSHE,华骐环保,2700,,,14.13,38151.0,False,-1034.0,"华骐环保(300929.XSHE)	2700股	14.13	38,151.00	-1,034.00",parsed
2026-05-13,,position,0,84,,,393734.0,,,600493.XSHG,600493.XSHG,凤竹纺织,2600,,,7.3,18980.0,False,-962.0,"凤竹纺织(600493.XSHG)	2600股	7.3	18,980.00	-962.00",parsed
2026-05-13,,cash_summary,0,85,608407.0,,393734.0,,,,,Cash,,,,,608407.0,False,608407.0,"Cash	 	 	608,407.00	0.00",parsed
2026-05-13,,total_summary,0,86,,1002141.0,393734.0,,,,,Total,,,,,1002141.0,False,,"总共:1,002,141.00	2,241.00",parsed
2026-05-14,,position,0,88,,,598920.0,,,300665.XSHE,300665.XSHE,飞鹿股份,6500,,,9.96,64740.0,False,6446.0,"飞鹿股份(300665.XSHE)	6500股	9.96	64,740.00	6,446.00",parsed
2026-05-14,,position,0,89,,,598920.0,,,301098.XSHE,301098.XSHE,金埔园林,5500,,,10.9,59950.0,False,5011.0,"金埔园林(301098.XSHE)	5500股	10.9	59,950.00	5,011.00",parsed
2026-05-14,,position,0,90,,,598920.0,,,300535.XSHE,300535.XSHE,达威股份,1000,,,18.46,18460.0,False,-70.0,"达威股份(300535.XSHE)	1000股	18.46	18,460.00	-70.00",parsed
2026-05-14,,position,0,91,,,598920.0,,,300405.XSHE,300405.XSHE,科隆股份,5600,,,7.3,40880.0,False,1036.0,"科隆股份(300405.XSHE)	5600股	7.3	40,880.00	1,036.00",parsed
2026-05-14,,position,0,92,,,598920.0,,,600561.XSHG,600561.XSHG,江西长运,8500,,,7.0,59500.0,False,-647.0,"江西长运(600561.XSHG)	8500股	7	59,500.00	-647.00",parsed
2026-05-14,,position,0,93,,,598920.0,,,600697.XSHG,600697.XSHG,欧亚集团,4800,,,12.47,59856.0,False,-796.0,"欧亚集团(600697.XSHG)	4800股	12.47	59,856.00	-796.00",parsed
