date,event_time,security,previous_close,open,high,low,close,high_limit,low_limit,engine_rejection_reason,jq_trade_quantity,jq_trade_price,jq_trade_time
2026-06-01,14:00,300929.XSHE,12.069999694824219,12.020000457763672,12.59000015258789,11.859999656677246,12.390000343322754,14.48,9.66,limit down,200,12.02,09:30:00
2026-06-01,14:00,300417.XSHE,13.100000381469727,12.960000038146973,13.5,12.569999694824219,13.300000190734863,15.72,10.48,limit down,0,,
2026-06-01,14:00,300405.XSHE,6.420000076293945,6.400000095367432,6.670000076293945,6.130000114440918,6.599999904632568,7.7,5.14,limit down,2700,6.4,09:30:00
2026-06-01,14:00,301167.XSHE,15.180000305175781,15.0,15.699999809265137,14.850000381469727,15.5600004196167,18.22,12.14,limit down,100,15.0,09:30:00
2026-06-01,14:00,603879.XSHG,4.949999809265137,4.940000057220459,5.25,4.820000171661377,5.199999809265137,5.44,4.45,limit down,3700,4.94,09:30:00
2026-06-02,14:00,301098.XSHE,9.680000305175781,9.5600004196167,9.710000038146973,8.819999694824219,9.260000228881836,11.620000000000001,7.74,limit down,0,,
2026-06-02,14:00,600455.XSHG,27.420000076293945,27.40999984741211,27.719999313354492,26.440000534057617,26.649999618530273,30.16,24.68,limit down,0,,
2026-06-02,14:00,300665.XSHE,9.720000267028809,9.720000267028809,9.989999771118164,9.260000228881836,9.619999885559082,11.66,7.78,limit down,0,,
2026-06-02,14:00,300929.XSHE,12.390000343322754,12.539999961853027,12.770000457763672,11.930000305175781,12.029999732971191,14.870000000000001,9.91,limit down,0,,
2026-06-02,14:00,300417.XSHE,13.229999542236328,13.239999771118164,13.579999923706055,12.569999694824219,12.829999923706055,15.88,10.58,limit down,0,,
2026-06-02,14:00,300405.XSHE,6.599999904632568,6.599999904632568,6.75,6.260000228881836,6.360000133514404,7.92,5.28,limit down,0,,
2026-06-02,14:00,600561.XSHG,6.300000190734863,6.409999847412109,6.440000057220459,5.949999809265137,6.019999980926514,6.93,5.67,limit down,0,,
2026-06-02,14:00,301167.XSHE,15.5600004196167,15.5600004196167,15.800000190734863,14.859999656677246,14.960000038146973,18.67,12.450000000000001,limit down,0,,
2026-06-02,14:00,300500.XSHE,11.460000038146973,11.479999542236328,11.630000114440918,10.890000343322754,10.979999542236328,13.75,9.17,limit down,0,,
2026-06-02,14:00,600493.XSHG,6.710000038146973,6.760000228881836,6.78000020980835,6.420000076293945,6.429999828338623,7.38,6.04,limit down,0,,
2026-06-02,14:00,603879.XSHG,5.199999809265137,5.210000038146973,5.230000019073486,4.96999979019165,5.019999980926514,5.72,4.68,limit down,0,,
2026-06-03,14:00,301098.XSHE,9.260000228881836,9.180000305175781,9.4399995803833,8.949999809265137,9.279999732971191,11.11,7.41,limit down,0,,
2026-06-03,14:00,600455.XSHG,26.649999618530273,26.639999389648438,26.649999618530273,25.56999969482422,25.700000762939453,29.310000000000002,23.98,limit down,0,,
2026-06-03,14:00,300929.XSHE,12.029999732971191,12.020000457763672,12.130000114440918,11.710000038146973,11.930000305175781,14.44,9.620000000000001,limit down,0,,
