trade_date,trade_time,source_timestamp,source_sequence,source_line_no,raw_security_code,normalized_security_code,security_name,side,quantity,price,gross_amount,commission,stamp_tax,transfer_fee,other_fee,total_fee,order_id,trade_id,raw_text,parse_status,is_exact_duplicate,is_business_key_duplicate,duplicate_group_id
2026-06-01,09:30:00,2026-06-01 09:30:00,70,90,300665.XSHE,300665.XSHE,飞鹿股份,sell,2000,9.54,-19080.0,24.08,,,,,,,"2026-06-01	09:30:00	飞鹿股份(300665.XSHE)	卖	市价单	-2000股	9.54	-19,080.00	1,143.38	24.08",parsed,False,False,
2026-06-01,09:30:00,2026-06-01 09:30:00,71,91,300929.XSHE,300929.XSHE,华骐环保,buy,200,12.02,2404.0,5.0,,,,,,,"2026-06-01	09:30:00	华骐环保(300929.XSHE)	买	市价单	200股	12.02	2,404.00	0.00	5.00",parsed,False,False,
2026-06-01,09:30:00,2026-06-01 09:30:00,72,92,300405.XSHE,300405.XSHE,科隆股份,sell,2700,6.4,-17280.0,22.28,,,,,,,"2026-06-01	09:30:00	科隆股份(300405.XSHE)	卖	市价单	-2700股	6.4	-17,280.00	-2,065.82	22.28",parsed,False,False,
2026-06-01,09:30:00,2026-06-01 09:30:00,73,93,600561.XSHG,600561.XSHG,江西长运,buy,300,5.99,1797.0,5.0,,,,,,,"2026-06-01	09:30:00	江西长运(600561.XSHG)	买	市价单	300股	5.99	1,797.00	0.00	5.00",parsed,False,False,
2026-06-01,09:30:00,2026-06-01 09:30:00,74,94,301167.XSHE,301167.XSHE,建研设计,buy,100,15.0,1500.0,5.0,,,,,,,"2026-06-01	09:30:00	建研设计(301167.XSHE)	买	市价单	100股	15	1,500.00	0.00	5.00",parsed,False,False,
2026-06-01,09:30:00,2026-06-01 09:30:00,75,95,600697.XSHG,600697.XSHG,欧亚集团,sell,1800,11.35,-20430.0,25.43,,,,,,,"2026-06-01	09:30:00	欧亚集团(600697.XSHG)	卖	市价单	-1800股	11.35	-20,430.00	-1,951.90	25.43",parsed,False,False,
2026-06-01,09:30:00,2026-06-01 09:30:00,76,96,300535.XSHE,300535.XSHE,达威股份,buy,1200,16.33,19596.0,5.0,,,,,,,"2026-06-01	09:30:00	达威股份(300535.XSHE)	买	市价单	1200股	16.33	19,596.00	0.00	5.00",parsed,False,False,
2026-06-01,09:30:00,2026-06-01 09:30:00,77,97,603879.XSHG,603879.XSHG,永悦科技,buy,3700,4.94,18278.0,5.0,,,,,,,"2026-06-01	09:30:00	永悦科技(603879.XSHG)	买	市价单	3700股	4.94	18,278.00	0.00	5.00",parsed,False,False,
2026-06-01,09:30:00,2026-06-01 09:30:00,78,98,300605.XSHE,300605.XSHE,恒锋信息,buy,1600,10.96,17536.0,5.0,,,,,,,"2026-06-01	09:30:00	恒锋信息(300605.XSHE)	买	市价单	1600股	10.96	17,536.00	0.00	5.00",parsed,False,False,
2026-06-01,09:30:00,2026-06-01 09:30:00,79,99,300886.XSHE,300886.XSHE,华业香料,buy,700,24.11,16877.0,5.0,,,,,,,"2026-06-01	09:30:00	华业香料(300886.XSHE)	买	市价单	700股	24.11	16,877.00	0.00	5.00",parsed,False,False,
2026-06-04,09:30:00,2026-06-04 09:30:00,81,101,301098.XSHE,301098.XSHE,金埔园林,sell,1400,9.09,-12726.0,17.73,,,,,,,"2026-06-04	09:30:00	金埔园林(301098.XSHE)	卖	市价单	-1400股	9.09	-12,726.00	-1,546.40	17.73",parsed,False,False,
2026-06-04,09:30:00,2026-06-04 09:30:00,82,102,600455.XSHG,600455.XSHG,博通股份,buy,100,25.7,2570.0,5.0,,,,,,,"2026-06-04	09:30:00	博通股份(600455.XSHG)	买	市价单	100股	25.7	2,570.00	0.00	5.00",parsed,False,False,
2026-06-04,09:30:00,2026-06-04 09:30:00,83,103,300665.XSHE,300665.XSHE,飞鹿股份,sell,1900,9.81,-18639.0,23.64,,,,,,,"2026-06-04	09:30:00	飞鹿股份(300665.XSHE)	卖	市价单	-1900股	9.81	-18,639.00	1,599.22	23.64",parsed,False,False,
2026-06-04,09:30:00,2026-06-04 09:30:00,84,104,300405.XSHE,300405.XSHE,科隆股份,buy,2700,6.24,16848.0,5.0,,,,,,,"2026-06-04	09:30:00	科隆股份(300405.XSHE)	买	市价单	2700股	6.24	16,848.00	0.00	5.00",parsed,False,False,
2026-06-04,09:30:00,2026-06-04 09:30:00,85,105,600697.XSHG,600697.XSHG,欧亚集团,sell,100,11.25,-1125.0,6.12,,,,,,,"2026-06-04	09:30:00	欧亚集团(600697.XSHG)	卖	市价单	-100股	11.25	-1,125.00	-118.44	6.12",parsed,False,False,
