date,snapshot_type,security,jq_quantity,local_quantity,quantity_difference,alignment_status
2026-05-11,END_OF_DAY,600493.XSHG,2600,2600,0,MATCH
2026-05-11,END_OF_DAY,600561.XSHG,5600,5600,0,MATCH
2026-05-11,END_OF_DAY,600697.XSHG,3100,3100,0,MATCH
2026-05-12,END_OF_DAY,300405.XSHE,5600,5600,0,MATCH
2026-05-12,END_OF_DAY,300417.XSHE,2600,2600,0,MATCH
2026-05-12,END_OF_DAY,300500.XSHE,1600,1600,0,MATCH
2026-05-12,END_OF_DAY,300665.XSHE,4400,4400,0,MATCH
2026-05-12,END_OF_DAY,300929.XSHE,2700,2700,0,MATCH
2026-05-12,END_OF_DAY,301098.XSHE,4100,4100,0,MATCH
2026-05-12,END_OF_DAY,301167.XSHE,2200,2200,0,MATCH
2026-05-12,END_OF_DAY,600455.XSHG,1300,1300,0,MATCH
2026-05-12,END_OF_DAY,600493.XSHG,2600,2600,0,MATCH
2026-05-12,END_OF_DAY,600561.XSHG,5600,5600,0,MATCH
2026-05-12,END_OF_DAY,600697.XSHG,3100,3100,0,MATCH
2026-05-13,END_OF_DAY,300405.XSHE,5600,5600,0,MATCH
2026-05-13,END_OF_DAY,300417.XSHE,2600,2600,0,MATCH
2026-05-13,END_OF_DAY,300500.XSHE,1600,1600,0,MATCH
2026-05-13,END_OF_DAY,300665.XSHE,4400,4400,0,MATCH
2026-05-13,END_OF_DAY,300929.XSHE,2700,2700,0,MATCH
2026-05-13,END_OF_DAY,301098.XSHE,4100,4100,0,MATCH
2026-05-13,END_OF_DAY,301167.XSHE,2200,2200,0,MATCH
2026-05-13,END_OF_DAY,600455.XSHG,1300,1300,0,MATCH
2026-05-13,END_OF_DAY,600493.XSHG,2600,2600,0,MATCH
2026-05-13,END_OF_DAY,600561.XSHG,5600,5600,0,MATCH
2026-05-13,END_OF_DAY,600697.XSHG,3100,3100,0,MATCH
2026-05-14,END_OF_DAY,300405.XSHE,5600,5500,100,QUANTITY_DIFF
2026-05-14,END_OF_DAY,300417.XSHE,3900,3900,0,MATCH
2026-05-14,END_OF_DAY,300500.XSHE,1600,1600,0,MATCH
2026-05-14,END_OF_DAY,300535.XSHE,1000,1000,0,MATCH
2026-05-14,END_OF_DAY,300665.XSHE,6500,6500,0,MATCH
2026-05-14,END_OF_DAY,300929.XSHE,4200,4200,0,MATCH
2026-05-14,END_OF_DAY,301098.XSHE,5500,5500,0,MATCH
2026-05-14,END_OF_DAY,301167.XSHE,3400,3400,0,MATCH
2026-05-14,END_OF_DAY,600455.XSHG,2000,2000,0,MATCH
2026-05-14,END_OF_DAY,600493.XSHG,5400,5400,0,MATCH
2026-05-14,END_OF_DAY,600561.XSHG,8500,8500,0,MATCH
2026-05-14,END_OF_DAY,600697.XSHG,4800,4800,0,MATCH
2026-05-15,END_OF_DAY,300405.XSHE,5600,5500,100,QUANTITY_DIFF
2026-05-15,END_OF_DAY,300417.XSHE,3900,3900,0,MATCH
2026-05-15,END_OF_DAY,300500.XSHE,1600,1600,0,MATCH
2026-05-15,END_OF_DAY,300535.XSHE,1000,1000,0,MATCH
2026-05-15,END_OF_DAY,300665.XSHE,6500,6500,0,MATCH
2026-05-15,END_OF_DAY,300929.XSHE,4200,4200,0,MATCH
2026-05-15,END_OF_DAY,301098.XSHE,5500,5500,0,MATCH
2026-05-15,END_OF_DAY,301167.XSHE,3400,3400,0,MATCH
2026-05-15,END_OF_DAY,600455.XSHG,2000,2000,0,MATCH
2026-05-15,END_OF_DAY,600493.XSHG,5400,5400,0,MATCH
2026-05-15,END_OF_DAY,600561.XSHG,8500,8500,0,MATCH
2026-05-15,END_OF_DAY,600697.XSHG,4800,4800,0,MATCH
2026-05-18,END_OF_DAY,300405.XSHE,5600,5500,100,QUANTITY_DIFF
2026-05-18,END_OF_DAY,300417.XSHE,3900,3900,0,MATCH
2026-05-18,END_OF_DAY,300500.XSHE,1600,1600,0,MATCH
2026-05-18,END_OF_DAY,300535.XSHE,1000,1000,0,MATCH
2026-05-18,END_OF_DAY,300665.XSHE,6500,6500,0,MATCH
2026-05-18,END_OF_DAY,300929.XSHE,4200,4200,0,MATCH
2026-05-18,END_OF_DAY,301098.XSHE,5500,5500,0,MATCH
2026-05-18,END_OF_DAY,301167.XSHE,3400,3400,0,MATCH
2026-05-18,END_OF_DAY,600455.XSHG,2000,2000,0,MATCH
2026-05-18,END_OF_DAY,600493.XSHG,5400,5400,0,MATCH
2026-05-18,END_OF_DAY,600561.XSHG,8500,8500,0,MATCH
2026-05-18,END_OF_DAY,600697.XSHG,4800,4800,0,MATCH
2026-05-19,END_OF_DAY,300405.XSHE,8300,8300,0,MATCH
2026-05-19,END_OF_DAY,300417.XSHE,5200,5200,0,MATCH
2026-05-19,END_OF_DAY,300500.XSHE,1600,1600,0,MATCH
2026-05-19,END_OF_DAY,300535.XSHE,2100,2100,0,MATCH
2026-05-19,END_OF_DAY,300665.XSHE,6200,6100,100,QUANTITY_DIFF
2026-05-19,END_OF_DAY,300929.XSHE,5700,5700,0,MATCH
2026-05-19,END_OF_DAY,301098.XSHE,7500,7500,0,MATCH
2026-05-19,END_OF_DAY,301167.XSHE,4600,4600,0,MATCH
2026-05-19,END_OF_DAY,600455.XSHG,2700,2700,0,MATCH
2026-05-19,END_OF_DAY,600493.XSHG,8100,8100,0,MATCH
2026-05-19,END_OF_DAY,600561.XSHG,11600,11600,0,MATCH
2026-05-19,END_OF_DAY,600697.XSHG,6400,6400,0,MATCH
2026-05-20,END_OF_DAY,300405.XSHE,8300,8300,0,MATCH
2026-05-20,END_OF_DAY,300417.XSHE,5200,5200,0,MATCH
2026-05-20,END_OF_DAY,300500.XSHE,1600,1600,0,MATCH
2026-05-20,END_OF_DAY,300535.XSHE,2100,2100,0,MATCH
2026-05-20,END_OF_DAY,300665.XSHE,6200,6100,100,QUANTITY_DIFF
2026-05-20,END_OF_DAY,300929.XSHE,5700,5700,0,MATCH
2026-05-20,END_OF_DAY,301098.XSHE,7500,7500,0,MATCH
2026-05-20,END_OF_DAY,301167.XSHE,4600,4600,0,MATCH
2026-05-20,END_OF_DAY,600455.XSHG,2700,2700,0,MATCH
2026-05-20,END_OF_DAY,600493.XSHG,8100,8100,0,MATCH
2026-05-20,END_OF_DAY,600561.XSHG,11600,11600,0,MATCH
2026-05-20,END_OF_DAY,600697.XSHG,6400,6400,0,MATCH
2026-05-21,END_OF_DAY,300405.XSHE,8300,8300,0,MATCH
2026-05-21,END_OF_DAY,300417.XSHE,5200,5200,0,MATCH
2026-05-21,END_OF_DAY,300500.XSHE,1600,1600,0,MATCH
2026-05-21,END_OF_DAY,300535.XSHE,2100,2100,0,MATCH
2026-05-21,END_OF_DAY,300665.XSHE,6200,6100,100,QUANTITY_DIFF
2026-05-21,END_OF_DAY,300929.XSHE,5700,5700,0,MATCH
2026-05-21,END_OF_DAY,301098.XSHE,7500,7500,0,MATCH
2026-05-21,END_OF_DAY,301167.XSHE,4600,4600,0,MATCH
2026-05-21,END_OF_DAY,600455.XSHG,2700,2700,0,MATCH
2026-05-21,END_OF_DAY,600493.XSHG,8100,8100,0,MATCH
2026-05-21,END_OF_DAY,600561.XSHG,11600,11600,0,MATCH
2026-05-21,END_OF_DAY,600697.XSHG,6400,6400,0,MATCH
2026-05-22,END_OF_DAY,300405.XSHE,8400,8400,0,MATCH
2026-05-22,END_OF_DAY,300417.XSHE,6600,6600,0,MATCH
2026-05-22,END_OF_DAY,300500.XSHE,1600,1600,0,MATCH
2026-05-22,END_OF_DAY,300535.XSHE,3200,3200,0,MATCH
2026-05-22,END_OF_DAY,300665.XSHE,6200,6200,0,MATCH
2026-05-22,END_OF_DAY,300929.XSHE,7300,7300,0,MATCH
2026-05-22,END_OF_DAY,301098.XSHE,9400,9400,0,MATCH
2026-05-22,END_OF_DAY,301167.XSHE,5800,5800,0,MATCH
2026-05-22,END_OF_DAY,600455.XSHG,3300,3300,0,MATCH
2026-05-22,END_OF_DAY,600493.XSHG,11000,11000,0,MATCH
2026-05-22,END_OF_DAY,600561.XSHG,14600,14600,0,MATCH
2026-05-22,END_OF_DAY,600697.XSHG,8100,8100,0,MATCH
2026-05-22,END_OF_DAY,603879.XSHG,3600,3600,0,MATCH
2026-05-25,END_OF_DAY,300405.XSHE,8400,8400,0,MATCH
2026-05-25,END_OF_DAY,300417.XSHE,6600,6600,0,MATCH
2026-05-25,END_OF_DAY,300500.XSHE,1600,1600,0,MATCH
2026-05-25,END_OF_DAY,300535.XSHE,3200,3200,0,MATCH
2026-05-25,END_OF_DAY,300665.XSHE,6200,6200,0,MATCH
2026-05-25,END_OF_DAY,300929.XSHE,7300,7300,0,MATCH
2026-05-25,END_OF_DAY,301098.XSHE,9400,9400,0,MATCH
2026-05-25,END_OF_DAY,301167.XSHE,5800,5800,0,MATCH
2026-05-25,END_OF_DAY,600455.XSHG,3300,3300,0,MATCH
2026-05-25,END_OF_DAY,600493.XSHG,11000,11000,0,MATCH
2026-05-25,END_OF_DAY,600561.XSHG,14600,14600,0,MATCH
2026-05-25,END_OF_DAY,600697.XSHG,8100,8100,0,MATCH
2026-05-25,END_OF_DAY,603879.XSHG,3600,3600,0,MATCH
2026-05-26,END_OF_DAY,300405.XSHE,8400,8400,0,MATCH
2026-05-26,END_OF_DAY,300417.XSHE,6600,6700,-100,QUANTITY_DIFF
2026-05-26,END_OF_DAY,300500.XSHE,1600,1600,0,MATCH
2026-05-26,END_OF_DAY,300535.XSHE,3200,3300,-100,QUANTITY_DIFF
2026-05-26,END_OF_DAY,300665.XSHE,6200,6200,0,MATCH
2026-05-26,END_OF_DAY,300929.XSHE,7300,7300,0,MATCH
2026-05-26,END_OF_DAY,301098.XSHE,9400,9400,0,MATCH
2026-05-26,END_OF_DAY,301167.XSHE,5800,5900,-100,QUANTITY_DIFF
2026-05-26,END_OF_DAY,600455.XSHG,3300,3300,0,MATCH
2026-05-26,END_OF_DAY,600493.XSHG,11000,11200,-200,QUANTITY_DIFF
2026-05-26,END_OF_DAY,600561.XSHG,14600,14600,0,MATCH
2026-05-26,END_OF_DAY,600697.XSHG,8100,8100,0,MATCH
2026-05-26,END_OF_DAY,603879.XSHG,3600,3600,0,MATCH
2026-05-27,END_OF_DAY,300405.XSHE,5600,8400,-2800,QUANTITY_DIFF
2026-05-27,END_OF_DAY,300417.XSHE,5500,6700,-1200,QUANTITY_DIFF
2026-05-27,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-05-27,END_OF_DAY,300535.XSHE,4300,3300,1000,QUANTITY_DIFF
2026-05-27,END_OF_DAY,300605.XSHE,1600,0,1600,JQ_ONLY
2026-05-27,END_OF_DAY,300665.XSHE,3900,6200,-2300,QUANTITY_DIFF
2026-05-27,END_OF_DAY,300929.XSHE,7300,7300,0,MATCH
2026-05-27,END_OF_DAY,301098.XSHE,9400,9400,0,MATCH
2026-05-27,END_OF_DAY,301167.XSHE,5900,5900,0,MATCH
2026-05-27,END_OF_DAY,600455.XSHG,3300,3300,0,MATCH
2026-05-27,END_OF_DAY,600493.XSHG,14000,11200,2800,QUANTITY_DIFF
2026-05-27,END_OF_DAY,600561.XSHG,14700,14600,100,QUANTITY_DIFF
2026-05-27,END_OF_DAY,600697.XSHG,8200,8100,100,QUANTITY_DIFF
2026-05-27,END_OF_DAY,603879.XSHG,7200,3600,3600,QUANTITY_DIFF
2026-05-28,END_OF_DAY,300405.XSHE,5600,8400,-2800,QUANTITY_DIFF
2026-05-28,END_OF_DAY,300417.XSHE,5500,6700,-1200,QUANTITY_DIFF
2026-05-28,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-05-28,END_OF_DAY,300535.XSHE,4300,3300,1000,QUANTITY_DIFF
2026-05-28,END_OF_DAY,300605.XSHE,1600,0,1600,JQ_ONLY
2026-05-28,END_OF_DAY,300665.XSHE,3900,6200,-2300,QUANTITY_DIFF
2026-05-28,END_OF_DAY,300929.XSHE,7300,7300,0,MATCH
2026-05-28,END_OF_DAY,301098.XSHE,9400,9400,0,MATCH
2026-05-28,END_OF_DAY,301167.XSHE,5900,5900,0,MATCH
2026-05-28,END_OF_DAY,600455.XSHG,3300,3300,0,MATCH
2026-05-28,END_OF_DAY,600493.XSHG,14000,11200,2800,QUANTITY_DIFF
2026-05-28,END_OF_DAY,600561.XSHG,14700,14600,100,QUANTITY_DIFF
2026-05-28,END_OF_DAY,600697.XSHG,8200,8100,100,QUANTITY_DIFF
2026-05-28,END_OF_DAY,603879.XSHG,7200,3600,3600,QUANTITY_DIFF
2026-05-29,END_OF_DAY,300405.XSHE,5600,8400,-2800,QUANTITY_DIFF
2026-05-29,END_OF_DAY,300417.XSHE,5500,6700,-1200,QUANTITY_DIFF
2026-05-29,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-05-29,END_OF_DAY,300535.XSHE,4300,3300,1000,QUANTITY_DIFF
2026-05-29,END_OF_DAY,300605.XSHE,1600,0,1600,JQ_ONLY
2026-05-29,END_OF_DAY,300665.XSHE,3900,6200,-2300,QUANTITY_DIFF
2026-05-29,END_OF_DAY,300929.XSHE,7300,7300,0,MATCH
2026-05-29,END_OF_DAY,301098.XSHE,9400,9400,0,MATCH
2026-05-29,END_OF_DAY,301167.XSHE,5900,5900,0,MATCH
2026-05-29,END_OF_DAY,600455.XSHG,3300,3300,0,MATCH
2026-05-29,END_OF_DAY,600493.XSHG,14000,11200,2800,QUANTITY_DIFF
2026-05-29,END_OF_DAY,600561.XSHG,14700,14600,100,QUANTITY_DIFF
2026-05-29,END_OF_DAY,600697.XSHG,8200,8100,100,QUANTITY_DIFF
2026-05-29,END_OF_DAY,603879.XSHG,7200,3600,3600,QUANTITY_DIFF
2026-06-01,END_OF_DAY,300405.XSHE,2900,8400,-5500,QUANTITY_DIFF
2026-06-01,END_OF_DAY,300417.XSHE,5500,6700,-1200,QUANTITY_DIFF
2026-06-01,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-01,END_OF_DAY,300535.XSHE,5500,3300,2200,QUANTITY_DIFF
2026-06-01,END_OF_DAY,300605.XSHE,3200,0,3200,JQ_ONLY
2026-06-01,END_OF_DAY,300665.XSHE,1900,6200,-4300,QUANTITY_DIFF
2026-06-01,END_OF_DAY,300886.XSHE,700,0,700,JQ_ONLY
2026-06-01,END_OF_DAY,300929.XSHE,7500,7300,200,QUANTITY_DIFF
2026-06-01,END_OF_DAY,301098.XSHE,7300,9400,-2100,QUANTITY_DIFF
2026-06-01,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-01,END_OF_DAY,600455.XSHG,3300,3300,0,MATCH
2026-06-01,END_OF_DAY,600493.XSHG,14000,11200,2800,QUANTITY_DIFF
2026-06-01,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-01,END_OF_DAY,600697.XSHG,6400,8100,-1700,QUANTITY_DIFF
2026-06-01,END_OF_DAY,603879.XSHG,10900,3600,7300,QUANTITY_DIFF
2026-06-02,END_OF_DAY,300405.XSHE,2900,8400,-5500,QUANTITY_DIFF
2026-06-02,END_OF_DAY,300417.XSHE,5500,6700,-1200,QUANTITY_DIFF
2026-06-02,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-02,END_OF_DAY,300535.XSHE,5500,3300,2200,QUANTITY_DIFF
2026-06-02,END_OF_DAY,300605.XSHE,3200,0,3200,JQ_ONLY
2026-06-02,END_OF_DAY,300665.XSHE,1900,6200,-4300,QUANTITY_DIFF
2026-06-02,END_OF_DAY,300886.XSHE,700,0,700,JQ_ONLY
2026-06-02,END_OF_DAY,300929.XSHE,7500,7300,200,QUANTITY_DIFF
2026-06-02,END_OF_DAY,301098.XSHE,7300,9400,-2100,QUANTITY_DIFF
2026-06-02,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-02,END_OF_DAY,600455.XSHG,3300,3300,0,MATCH
2026-06-02,END_OF_DAY,600493.XSHG,14000,11200,2800,QUANTITY_DIFF
2026-06-02,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-02,END_OF_DAY,600697.XSHG,6400,8100,-1700,QUANTITY_DIFF
2026-06-02,END_OF_DAY,603879.XSHG,10900,3600,7300,QUANTITY_DIFF
2026-06-03,END_OF_DAY,300405.XSHE,2900,8400,-5500,QUANTITY_DIFF
2026-06-03,END_OF_DAY,300417.XSHE,5500,6700,-1200,QUANTITY_DIFF
2026-06-03,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-03,END_OF_DAY,300535.XSHE,5500,3300,2200,QUANTITY_DIFF
2026-06-03,END_OF_DAY,300605.XSHE,3200,0,3200,JQ_ONLY
2026-06-03,END_OF_DAY,300665.XSHE,1900,6200,-4300,QUANTITY_DIFF
2026-06-03,END_OF_DAY,300886.XSHE,700,0,700,JQ_ONLY
2026-06-03,END_OF_DAY,300929.XSHE,7500,7300,200,QUANTITY_DIFF
2026-06-03,END_OF_DAY,301098.XSHE,7300,9400,-2100,QUANTITY_DIFF
2026-06-03,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-03,END_OF_DAY,600455.XSHG,3300,3300,0,MATCH
2026-06-03,END_OF_DAY,600493.XSHG,14000,11200,2800,QUANTITY_DIFF
2026-06-03,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-03,END_OF_DAY,600697.XSHG,6400,8100,-1700,QUANTITY_DIFF
2026-06-03,END_OF_DAY,603879.XSHG,10900,3600,7300,QUANTITY_DIFF
2026-06-04,END_OF_DAY,300405.XSHE,5600,8400,-2800,QUANTITY_DIFF
2026-06-04,END_OF_DAY,300417.XSHE,5500,6700,-1200,QUANTITY_DIFF
2026-06-04,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-04,END_OF_DAY,300535.XSHE,5600,3300,2300,QUANTITY_DIFF
2026-06-04,END_OF_DAY,300605.XSHE,4800,0,4800,JQ_ONLY
2026-06-04,END_OF_DAY,300665.XSHE,0,6200,-6200,LOCAL_ONLY
2026-06-04,END_OF_DAY,300886.XSHE,700,0,700,JQ_ONLY
2026-06-04,END_OF_DAY,300929.XSHE,7500,7300,200,QUANTITY_DIFF
2026-06-04,END_OF_DAY,301098.XSHE,5900,9400,-3500,QUANTITY_DIFF
2026-06-04,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-04,END_OF_DAY,600455.XSHG,3400,3300,100,QUANTITY_DIFF
2026-06-04,END_OF_DAY,600493.XSHG,14000,11200,2800,QUANTITY_DIFF
2026-06-04,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-04,END_OF_DAY,600697.XSHG,6300,8100,-1800,QUANTITY_DIFF
2026-06-04,END_OF_DAY,603879.XSHG,10600,3600,7000,QUANTITY_DIFF
2026-06-05,END_OF_DAY,300405.XSHE,5600,8400,-2800,QUANTITY_DIFF
2026-06-05,END_OF_DAY,300417.XSHE,5500,6700,-1200,QUANTITY_DIFF
2026-06-05,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-05,END_OF_DAY,300535.XSHE,5600,3300,2300,QUANTITY_DIFF
2026-06-05,END_OF_DAY,300605.XSHE,4800,0,4800,JQ_ONLY
2026-06-05,END_OF_DAY,300665.XSHE,0,6200,-6200,LOCAL_ONLY
2026-06-05,END_OF_DAY,300886.XSHE,700,0,700,JQ_ONLY
2026-06-05,END_OF_DAY,300929.XSHE,7500,7300,200,QUANTITY_DIFF
2026-06-05,END_OF_DAY,301098.XSHE,5900,9400,-3500,QUANTITY_DIFF
2026-06-05,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-05,END_OF_DAY,600455.XSHG,3400,3300,100,QUANTITY_DIFF
2026-06-05,END_OF_DAY,600493.XSHG,14000,11200,2800,QUANTITY_DIFF
2026-06-05,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-05,END_OF_DAY,600697.XSHG,6300,8100,-1800,QUANTITY_DIFF
2026-06-05,END_OF_DAY,603879.XSHG,10600,3600,7000,QUANTITY_DIFF
2026-06-08,END_OF_DAY,300405.XSHE,5600,8400,-2800,QUANTITY_DIFF
2026-06-08,END_OF_DAY,300417.XSHE,5500,6700,-1200,QUANTITY_DIFF
2026-06-08,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-08,END_OF_DAY,300535.XSHE,5600,3300,2300,QUANTITY_DIFF
2026-06-08,END_OF_DAY,300605.XSHE,4800,0,4800,JQ_ONLY
2026-06-08,END_OF_DAY,300665.XSHE,0,6200,-6200,LOCAL_ONLY
2026-06-08,END_OF_DAY,300886.XSHE,700,0,700,JQ_ONLY
2026-06-08,END_OF_DAY,300929.XSHE,7500,7300,200,QUANTITY_DIFF
2026-06-08,END_OF_DAY,301098.XSHE,5900,9400,-3500,QUANTITY_DIFF
2026-06-08,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-08,END_OF_DAY,600455.XSHG,3400,3300,100,QUANTITY_DIFF
2026-06-08,END_OF_DAY,600493.XSHG,14000,11200,2800,QUANTITY_DIFF
2026-06-08,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-08,END_OF_DAY,600697.XSHG,6300,8100,-1800,QUANTITY_DIFF
2026-06-08,END_OF_DAY,603879.XSHG,10600,3600,7000,QUANTITY_DIFF
2026-06-09,END_OF_DAY,300405.XSHE,5600,8400,-2800,QUANTITY_DIFF
2026-06-09,END_OF_DAY,300417.XSHE,5500,6700,-1200,QUANTITY_DIFF
2026-06-09,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-09,END_OF_DAY,300535.XSHE,5600,3300,2300,QUANTITY_DIFF
2026-06-09,END_OF_DAY,300605.XSHE,4800,0,4800,JQ_ONLY
2026-06-09,END_OF_DAY,300665.XSHE,0,6200,-6200,LOCAL_ONLY
2026-06-09,END_OF_DAY,300886.XSHE,700,0,700,JQ_ONLY
2026-06-09,END_OF_DAY,300929.XSHE,7500,7300,200,QUANTITY_DIFF
2026-06-09,END_OF_DAY,301098.XSHE,6100,9400,-3300,QUANTITY_DIFF
2026-06-09,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-09,END_OF_DAY,600455.XSHG,3400,3300,100,QUANTITY_DIFF
2026-06-09,END_OF_DAY,600493.XSHG,13800,11200,2600,QUANTITY_DIFF
2026-06-09,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-09,END_OF_DAY,600697.XSHG,4700,8100,-3400,QUANTITY_DIFF
2026-06-09,END_OF_DAY,603879.XSHG,14200,3600,10600,QUANTITY_DIFF
2026-06-10,END_OF_DAY,300405.XSHE,5600,8400,-2800,QUANTITY_DIFF
2026-06-10,END_OF_DAY,300417.XSHE,5500,6700,-1200,QUANTITY_DIFF
2026-06-10,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-10,END_OF_DAY,300535.XSHE,5600,3300,2300,QUANTITY_DIFF
2026-06-10,END_OF_DAY,300605.XSHE,4800,0,4800,JQ_ONLY
2026-06-10,END_OF_DAY,300665.XSHE,0,6200,-6200,LOCAL_ONLY
2026-06-10,END_OF_DAY,300886.XSHE,700,0,700,JQ_ONLY
2026-06-10,END_OF_DAY,300929.XSHE,7500,7300,200,QUANTITY_DIFF
2026-06-10,END_OF_DAY,301098.XSHE,6100,9400,-3300,QUANTITY_DIFF
2026-06-10,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-10,END_OF_DAY,600455.XSHG,3400,3300,100,QUANTITY_DIFF
2026-06-10,END_OF_DAY,600493.XSHG,13800,11200,2600,QUANTITY_DIFF
2026-06-10,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-10,END_OF_DAY,600697.XSHG,4700,8100,-3400,QUANTITY_DIFF
2026-06-10,END_OF_DAY,603879.XSHG,14200,3600,10600,QUANTITY_DIFF
2026-06-11,END_OF_DAY,300405.XSHE,5600,8400,-2800,QUANTITY_DIFF
2026-06-11,END_OF_DAY,300417.XSHE,5500,6700,-1200,QUANTITY_DIFF
2026-06-11,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-11,END_OF_DAY,300535.XSHE,5600,3300,2300,QUANTITY_DIFF
2026-06-11,END_OF_DAY,300605.XSHE,4800,0,4800,JQ_ONLY
2026-06-11,END_OF_DAY,300665.XSHE,0,6200,-6200,LOCAL_ONLY
2026-06-11,END_OF_DAY,300886.XSHE,700,0,700,JQ_ONLY
2026-06-11,END_OF_DAY,300929.XSHE,7500,7300,200,QUANTITY_DIFF
