date,gross_value,net_value,cum_cost,daily_trade_value
2022-05-10,2443327.560000001,2268459.928500001,174867.63150000008,487342.0
2022-05-11,2436197.560000001,2261329.928500001,174867.63150000008,0.0
2022-05-12,2445527.560000001,2270659.928500001,174867.63150000008,0.0
2022-05-13,2459340.060000001,2283022.648500001,176317.41150000007,483260.0
2022-05-16,2481515.060000001,2305197.648500001,176317.41150000007,0.0
2022-05-17,2465973.060000001,2289655.648500001,176317.41150000007,0.0
2022-05-18,2517690.3000000017,2339868.1935000014,177822.10650000008,501565.0
2022-05-19,2543411.040000001,2365555.156500001,177855.88350000008,11258.999999999998
2022-05-20,2550873.040000001,2373017.156500001,177855.88350000008,0.0
2022-05-23,2612238.120000001,2433206.539500001,179031.5805000001,391899.0
2022-05-24,2520557.120000001,2341525.539500001,179031.5805000001,0.0
2022-05-25,2596062.120000001,2417030.539500001,179031.5805000001,0.0
2022-05-26,2604330.2700000014,2424103.4235000014,180226.8465000001,398422.0
2022-05-27,2622421.2700000014,2442194.4235000014,180226.8465000001,0.0
2022-05-30,2631856.2700000014,2451629.4235000014,180226.8465000001,0.0
2022-05-31,2607977.4300000016,2426727.3795000017,181250.0505000001,341068.0
2022-06-01,2643658.4300000016,2462408.3795000017,181250.0505000001,0.0
2022-06-02,2650697.4300000016,2469447.3795000017,181250.0505000001,0.0
2022-06-06,2705464.2700000014,2523038.1565000014,182426.1135000001,392021.0
2022-06-07,2678460.2700000014,2496034.1565000014,182426.1135000001,0.0
2022-06-08,2652381.2700000014,2469955.1565000014,182426.1135000001,0.0
2022-06-09,2615828.7000000016,2432382.3405000013,183446.3595000001,340082.0
2022-06-10,2643608.7000000016,2460162.3405000013,183446.3595000001,0.0
2022-06-13,2659903.7000000016,2476457.3405000013,183446.3595000001,0.0
2022-06-14,2638690.370000001,2454191.673500001,184498.6965000001,350779.0
2022-06-15,2637679.370000001,2453180.673500001,184498.6965000001,0.0
2022-06-16,2677818.370000001,2493319.673500001,184498.6965000001,0.0
2022-06-17,2642832.2100000014,2456628.8205000013,186203.3895000001,568231.0
2022-06-20,2659990.210000002,2473786.820500002,186203.3895000001,0.0
2022-06-21,2673467.2100000014,2487263.8205000013,186203.3895000001,0.0
2022-06-22,2645722.160000001,2458463.706500001,187258.45350000012,351688.0
2022-06-23,2669628.160000001,2482369.706500001,187258.45350000012,0.0
2022-06-24,2685427.160000001,2498168.706500001,187258.45350000012,0.0
2022-06-27,2689985.0500000017,2502029.3905000016,187955.65950000013,232402.0
2022-06-28,2751120.0500000017,2563164.3905000016,187955.65950000013,0.0
2022-06-29,2711051.0500000017,2523095.3905000016,187955.65950000013,0.0
2022-06-30,2715768.9500000016,2526784.2905000015,188984.65950000013,343000.0
2022-07-01,2701139.9500000016,2512155.2905000015,188984.65950000013,0.0
2022-07-04,2703894.9500000016,2514910.2905000015,188984.65950000013,0.0
2022-07-05,2694321.5000000014,2504300.793500001,190020.70650000012,345349.0
2022-07-06,2684002.5000000014,2493981.793500001,190020.70650000012,0.0
2022-07-07,2685733.5000000014,2495712.793500001,190020.70650000012,0.0
2022-07-08,2711555.350000001,2520219.050500001,191336.2995000001,438531.0
