date,jq_total_asset,local_total_asset,asset_diff,asset_diff_pct,jq_cash,local_cash,cash_diff,jq_position_value,local_position_value,position_value_diff,jq_position_count,local_position_count,position_count_diff,jq_daily_return,local_daily_return,daily_return_diff,jq_cum_return,local_cum_return,cum_return_diff,match_status,diff_reason
2025-01-20,1000257.4,1000257.4,0.0,0.0,9198.1,,,991059.3,,,1,,,-5.93811880396089e-05,-5.93811880396089e-05,0.0,0.0003564352870935039,0.0003564352870935039,0.0,exact_match,none
2025-01-21,1000386.1,1000386.1,0.0,0.0,9198.1,,,991188.0,,,1,,,0.00012866688114465674,0.00012866688114465674,0.0,0.00048514802965482495,0.00048514802965482495,0.0,exact_match,none
2025-01-22,1000475.2,1000475.2,0.0,0.0,9198.1,,,991277.1,,,1,,,8.906561176735828e-05,8.906561176735828e-05,0.0,0.0005742568514282009,0.0005742568514282009,0.0,exact_match,none
2025-01-23,1000415.8,1000415.8,0.0,0.0,9198.1,,,991217.7,,,1,,,-5.9371786526929426e-05,-5.9371786526929426e-05,0.0,0.0005148509702461723,0.0005148509702461723,0.0,exact_match,none
2025-01-24,1000435.6,1000435.6,0.0,0.0,9198.1,,,991237.5,,,1,,,1.9791770581756296e-05,1.9791770581756296e-05,0.0,0.0005346529306400338,0.0005346529306400338,0.0,exact_match,none
2025-01-27,1001079.1,1001079.1,0.0,0.0,9198.1,,,991881.0,,,1,,,0.0006432198134491696,0.0006432198134491696,0.0,0.0011782166434477492,0.0011782166434477492,0.0,exact_match,none
2025-02-05,1009580.9,1009580.9,0.0,0.0,804121.9,,,205459.0,,,10,,,0.008492635596927478,0.008492635596927478,0.0,0.009680858404982118,0.009680858404982118,0.0,exact_match,none
2025-02-06,1013365.88,1013365.88,0.0,0.0,809130.88,,,204235.0,,,10,,,0.003749060625057421,0.003749060625057421,0.0,0.013466213155102436,0.013466213155102436,0.0,exact_match,none
2025-02-07,1018218.88,1018218.88,0.0,0.0,809130.88,,,209088.0,,,10,,,0.004788990922015346,0.004788990922015346,0.0,0.01831969364967123,0.01831969364967123,0.0,exact_match,none
2025-02-10,1034789.22,1034789.22,0.0,0.0,616581.22,,,418208.0,,,11,,,0.016273848703335814,0.016273848703335814,0.0,0.03489167427575324,0.03489167427575324,0.0,exact_match,none
2025-02-11,1035201.22,1035201.22,0.0,0.0,616581.22,,,418620.0,,,11,,,0.0003981487167019626,0.0003981487167019626,0.0,0.03530371506779173,0.03530371506779173,0.0,exact_match,none
2025-02-12,1031578.26,1031578.27,-0.010000000009313226,-9.693883925369256e-09,623518.26,,,408060.0,,,11,,,-0.0034997640362131044,-0.0034997543762553818,-9.659957722618628e-09,0.03168039635923958,0.03168040636022962,-1.0000990036118651e-08,exact_match,none
2025-02-13,1023957.26,1023957.27,-0.010000000009313226,-9.766032531136016e-09,417806.26,,,606151.0,,,12,,,-0.007387709004259113,-0.007387708932643622,-7.161549131495804e-11,0.02405864180553885,0.024058651806528886,-1.0000990036118651e-08,exact_match,none
2025-02-14,1023512.26,1023512.27,-0.010000000009313226,-9.77027858133369e-09,417806.26,,,605706.0,,,12,,,-0.00043458845147503755,-0.00043458844723076595,-4.244271600839511e-12,0.023613597746176884,0.02361360774716692,-1.0000990036118651e-08,exact_match,none
