date,sequence,code,side,jq_quantity,local_quantity,quantity_diff,jq_price,local_price,price_diff,jq_gross_amount,local_gross_amount,gross_amount_diff,jq_commission,local_commission,commission_diff,jq_tax,local_tax,tax_diff,match_status,diff_reason,evidence_level
2025-02-26,0,002620.XSHE,sell,6300.0,6300.0,0.0,3.58,3.58,0.0,-22554.0,22554.0,-45108.0,27.55,5.0,22.55,0,0,0,exact_match,none,A
2025-02-26,0,002856.XSHE,buy,2600.0,2600.0,0.0,8.89,8.89,0.0,23114.0,23114.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-26,0,300478.XSHE,buy,100.0,100.0,0.0,14.21,14.21,0.0,1421.0,1421.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-26,0,300736.XSHE,buy,1600.0,1600.0,0.0,10.32,10.32,0.0,16512.0,16512.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-26,0,300929.XSHE,buy,200.0,200.0,0.0,9.1,9.1,0.0,1820.0,1820.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-26,0,600193.XSHG,sell,5200.0,5200.0,0.0,3.91,3.91,0.0,-20332.0,20332.0,-40664.0,25.33,5.0,20.33,0,0,0,exact_match,none,A
2025-02-26,0,600421.XSHG,sell,2200.0,2200.0,0.0,7.18,7.18,0.0,-15796.0,15796.0,-31592.0,20.8,5.0,15.8,0,0,0,exact_match,none,A
2025-02-26,0,600753.XSHG,buy,4000.0,4000.0,0.0,5.55,5.55,0.0,22200.0,22200.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-26,0,600768.XSHG,buy,2500.0,2500.0,0.0,9.36,9.36,0.0,23400.0,23400.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-26,0,603813.XSHG,sell,2000.0,2000.0,0.0,13.02,13.02,0.0,-26040.0,26040.0,-52080.0,31.04,5.0,26.04,0,0,0,exact_match,none,A
2025-02-26,0,605081.XSHG,sell,400.0,400.0,0.0,10.2,10.2,0.0,-4080.0,4079.9999999999995,-8160.0,9.08,5.0,4.08,0,0,0,exact_match,none,A
2025-02-28,0,603316.XSHG,sell,700.0,700.0,0.0,6.48,6.48,0.0,-4536.0,4536.0,-9072.0,9.54,5.0,4.539999999999999,0,0,0,exact_match,none,A
2025-03-03,0,000929.XSHE,sell,100.0,100.0,0.0,6.76,6.76,0.0,-676.0,676.0,-1352.0,5.68,5.0,0.6799999999999997,0,0,0,exact_match,none,A
2025-03-03,0,002620.XSHE,sell,6100.0,6100.0,0.0,3.59,3.59,0.0,-21899.0,21899.0,-43798.0,26.9,5.0,21.9,0,0,0,exact_match,none,A
2025-03-03,0,002856.XSHE,buy,2500.0,2500.0,0.0,8.79,8.79,0.0,21975.0,21974.999999999996,3.637978807091713e-12,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-03,0,300478.XSHE,sell,1500.0,1500.0,0.0,13.33,13.33,0.0,-19995.0,19995.0,-39990.0,25.0,5.0,20.0,0,0,0,exact_match,none,A
2025-03-03,0,300929.XSHE,buy,200.0,200.0,0.0,8.85,8.85,0.0,1770.0,1770.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-03,0,600421.XSHG,sell,3000.0,3000.0,0.0,7.03,7.03,0.0,-21090.0,21090.0,-42180.0,26.09,5.0,21.09,0,0,0,exact_match,none,A
2025-03-03,0,600753.XSHG,buy,4200.0,4200.0,0.0,5.29,5.29,0.0,22218.0,22218.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-03,0,600768.XSHG,buy,2200.0,2200.0,0.0,9.38,9.38,0.0,20636.0,20636.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-03,0,603813.XSHG,sell,1900.0,1900.0,0.0,14.08,14.08,0.0,-26752.0,26752.0,-53504.0,31.75,5.0,26.75,0,0,0,exact_match,none,A
2025-03-03,0,605081.XSHG,buy,200.0,200.0,0.0,9.9,9.9,0.0,1980.0,1980.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-06,0,000668.XSHE,buy,500.0,500.0,0.0,5.65,5.65,0.0,2825.0,2825.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-06,0,000691.XSHE,sell,500.0,500.0,0.0,3.13,3.13,0.0,-1565.0,1565.0,-3130.0,6.56,5.0,1.5599999999999996,0,0,0,exact_match,none,A
2025-03-06,0,000929.XSHE,buy,500.0,500.0,0.0,6.47,6.47,0.0,3235.0,3235.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-06,0,002620.XSHE,sell,6200.0,6200.0,0.0,3.72,3.72,0.0,-23064.0,23064.0,-46128.0,28.06,5.0,23.06,0,0,0,exact_match,none,A
2025-03-06,0,002848.XSHE,buy,300.0,300.0,0.0,6.74,6.74,0.0,2022.0,2022.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-06,0,002856.XSHE,sell,300.0,300.0,0.0,9.04,9.04,0.0,-2712.0,2711.9999999999995,-5424.0,7.71,5.0,2.71,0,0,0,exact_match,none,A
2025-03-06,0,300736.XSHE,buy,4800.0,4800.0,0.0,9.84,9.84,0.0,47232.0,47232.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-06,0,300929.XSHE,sell,200.0,200.0,0.0,9.05,9.05,0.0,-1810.0,1810.0000000000002,-3620.0,6.81,5.0,1.8099999999999996,0,0,0,exact_match,none,A
2025-03-06,0,600421.XSHG,sell,3100.0,3100.0,0.0,6.78,6.78,0.0,-21018.0,21018.0,-42036.0,26.02,5.0,21.02,0,0,0,exact_match,none,A
2025-03-06,0,600753.XSHG,buy,4100.0,4100.0,0.0,5.3,5.3,0.0,21730.0,21730.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-06,0,600768.XSHG,buy,1800.0,1800.0,0.0,9.68,9.68,0.0,17424.0,17424.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-06,0,603316.XSHG,buy,100.0,100.0,0.0,5.99,5.99,0.0,599.0,599.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-06,0,603813.XSHG,sell,1600.0,1600.0,0.0,14.21,14.21,0.0,-22736.0,22736.0,-45472.0,27.74,5.0,22.74,0,0,0,exact_match,none,A
2025-03-06,0,605081.XSHG,buy,300.0,300.0,0.0,9.5,9.5,0.0,2850.0,2850.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-11,0,000691.XSHE,buy,300.0,300.0,0.0,3.19,3.19,0.0,957.0,957.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-11,0,000929.XSHE,sell,4500.0,4500.0,0.0,7.41,7.41,0.0,-33345.0,33345.0,-66690.0,38.34,5.0,33.34,0,0,0,exact_match,none,A
2025-03-11,0,002620.XSHE,sell,5800.0,5800.0,0.0,3.66,3.66,0.0,-21228.0,21228.0,-42456.0,26.23,5.0,21.23,0,0,0,exact_match,none,A
2025-03-11,0,002848.XSHE,buy,100.0,100.0,0.0,6.66,6.66,0.0,666.0,666.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
