date,sequence,code,side,jq_quantity,local_quantity,quantity_diff,jq_price,local_price,price_diff,jq_gross_amount,local_gross_amount,gross_amount_diff,jq_commission,local_commission,commission_diff,jq_tax,local_tax,tax_diff,match_status,diff_reason,evidence_level
2026-05-14,0,600561.XSHG,buy,2900.0,2900.0,0.0,7.03,7.03,0.0,20387.0,20387.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-14,0,600697.XSHG,buy,1700.0,1700.0,0.0,12.44,12.44,0.0,21148.0,21148.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-19,0,300405.XSHE,buy,2700.0,2700.0,0.0,7.28,7.28,0.0,19656.0,19656.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-19,0,300417.XSHE,buy,1300.0,1300.0,0.0,15.23,15.23,0.0,19799.0,19799.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-19,0,300535.XSHE,buy,1100.0,1100.0,0.0,18.56,18.56,0.0,20416.0,20416.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-19,0,300665.XSHE,sell,300.0,300.0,0.0,9.85,9.85,0.0,-2955.0,2955.0,-5910.0,7.96,5.0,2.96,0,0,0,exact_match,none,A
2026-05-19,0,300929.XSHE,buy,1500.0,1500.0,0.0,14.0,14.0,0.0,21000.0,21000.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-19,0,301098.XSHE,buy,2000.0,2000.0,0.0,10.66,10.66,0.0,21320.0,21320.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-19,0,301167.XSHE,buy,1200.0,1200.0,0.0,17.52,17.52,0.0,21024.0,21024.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-19,0,600455.XSHG,buy,700.0,700.0,0.0,29.71,29.71,0.0,20797.0,20797.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-19,0,600493.XSHG,buy,2700.0,2700.0,0.0,7.4,7.4,0.0,19980.0,19980.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-19,0,600561.XSHG,buy,3100.0,3100.0,0.0,6.94,6.94,0.0,21514.0,21514.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-19,0,600697.XSHG,buy,1600.0,1600.0,0.0,12.48,12.48,0.0,19968.0,19968.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-22,0,300405.XSHE,buy,100.0,100.0,0.0,6.87,6.87,0.0,687.0,687.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-22,0,300417.XSHE,buy,1400.0,1400.0,0.0,14.48,14.48,0.0,20272.0,20272.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-22,0,300535.XSHE,buy,1100.0,1100.0,0.0,17.65,17.65,0.0,19415.0,19415.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-22,0,300929.XSHE,buy,1600.0,1600.0,0.0,13.25,13.25,0.0,21200.0,21200.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-22,0,301098.XSHE,buy,1900.0,1900.0,0.0,10.3,10.3,0.0,19570.0,19570.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-22,0,301167.XSHE,buy,1200.0,1200.0,0.0,16.48,16.48,0.0,19776.0,19776.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-22,0,600455.XSHG,buy,600.0,600.0,0.0,28.62,28.62,0.0,17172.0,17172.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-22,0,600493.XSHG,buy,2900.0,2900.0,0.0,7.01,7.01,0.0,20329.0,20329.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-22,0,600561.XSHG,buy,3000.0,3000.0,0.0,6.61,6.61,0.0,19830.0,19830.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-22,0,600697.XSHG,buy,1700.0,1700.0,0.0,11.87,11.87,0.0,20179.0,20179.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-22,0,603879.XSHG,buy,3600.0,3600.0,0.0,5.34,5.34,0.0,19224.0,19224.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-27,0,300405.XSHE,sell,2800.0,2800.0,0.0,6.92,6.92,0.0,-19376.0,19376.0,-38752.0,24.38,5.0,19.38,0,0,0,exact_match,none,A
