date,code,side,jq_quantity,local_quantity,quantity_diff,jq_price,local_price,price_diff,jq_gross_amount,local_gross_amount,gross_amount_diff,jq_commission,local_commission,jq_tax,local_tax,match_status,diff_reason
2020-07-02,000929.XSHE,buy,3400,3300,-100,6.57,6.57,0.0,22338.0,21681.0,-657.0,10.0,10.0,0,0.0,quantity_diff,unknown
2020-07-02,002209.XSHE,buy,300,300,0,6.04,6.04,0.0,1812.0,1812.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-02,002473.XSHE,buy,3200,3200,0,7.88,7.88,0.0,25216.0,25216.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-02,002633.XSHE,buy,500,500,0,7.98,7.98,0.0,3990.0,3990.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-02,300029.XSHE,buy,200,200,0,5.54,5.54,0.0,1108.0,1108.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-02,300405.XSHE,buy,4200,4100,-100,5.72,5.72,0.0,24024.0,23452.0,-572.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-07-02,300535.XSHE,sell,2000,2000,0,12.25,12.25,0.0,24500.0,24500.0,0.0,29.5,5.0,0,24.5,exact_match,unknown
2020-07-02,300665.XSHE,buy,0,100,100,,10.04,,0.0,1003.9999999999999,1003.9999999999999,0.0,5.0,0,0.0,missing_in_jq,unknown
2020-07-02,300736.XSHE,sell,2800,2800,0,10.3,10.3,0.0,28840.0,28840.000000000004,3.637978807091713e-12,33.84,5.0,0,28.84,exact_match,unknown
2020-07-02,600561.XSHG,buy,200,200,0,4.68,4.68,0.0,936.0,936.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-02,600599.XSHG,sell,3500,3400,-100,5.25,5.25,0.0,18375.0,17850.0,-525.0,23.38,5.0,0,17.85,quantity_diff,unknown
2020-07-02,603269.XSHG,buy,1900,1900,0,13.16,13.16,0.0,25004.0,25004.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-07,000502.XSHE,sell,200,200,0,7.34,7.34,0.0,1468.0,1468.0,0.0,6.47,5.0,0,1.47,exact_match,unknown
2020-07-07,000638.XSHE,sell,5900,5900,0,4.53,4.53,0.0,26727.0,26727.0,0.0,31.73,5.0,0,26.73,exact_match,unknown
2020-07-07,000929.XSHE,buy,800,900,100,7.0,7.0,0.0,5600.0,6300.0,700.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-07-07,002209.XSHE,sell,600,600,0,6.6,6.6,0.0,3960.0,3960.0,0.0,8.96,5.0,0,3.96,exact_match,unknown
