date,jq_total_asset,jq_cash,jq_position_value,jq_position_count,is_truncated,local_total_asset,asset_diff,asset_diff_pct,cash_diff,position_value_diff,position_count_diff,jq_daily_return,local_daily_return,daily_return_diff,jq_cum_return,local_cum_return,cum_return_diff,match_status
2020-01-20,1001524.6,8950.6,992574.0,1.0,False,1001524.6,0.0,0.0,,,,-0.00010872240195647365,-0.00010872240195647365,0.0,0.14551991546984944,0.14551991546984944,0.0,exact_match
2020-01-21,1001643.4,8950.6,992692.8,1.0,False,1001643.4,0.0,0.0,,,,0.00011861915323896355,0.00011861915323896355,0.0,0.15739909224290471,0.15739909224290471,0.0,exact_match
2020-01-22,1001940.4,8950.6,992989.8,1.0,False,1001940.4,0.0,0.0,,,,0.0002965127110108323,0.0002965127110108323,0.0,0.1870970341755207,0.1870970341755207,0.0,exact_match
2020-01-23,1002821.5,8950.6,993870.9,1.0,False,1002821.5,0.0,0.0,,,,0.0008793936246107581,0.0008793936246107581,0.0,0.2752009285756474,0.2752009285756474,0.0,exact_match
2020-02-03,1000327.5,806952.5,193375.0,10.0,False,1000327.5,0.0,0.0,,,,-0.0024869829775289176,-0.0024869829775289176,0.0,0.02581821079798985,0.02581821079798985,0.0,exact_match
2020-02-04,1005811.5,806952.5,198859.0,10.0,False,1005811.5,0.0,0.0,,,,0.005482204578000749,0.005482204578000749,0.0,0.5741802093114812,0.5741802093114812,0.0,exact_match
2020-02-05,1012309.5,806952.5,205357.0,10.0,False,1012309.5,0.0,0.0,,,,0.006460455065387505,0.006460455065387505,0.0,1.2239351812919352,1.2239351812919352,0.0,exact_match
2020-02-06,1020243.5,609618.5,410625.0,20.0,False,1020243.5,0.0,0.0,,,,0.007837523998342366,0.007837523998342366,0.0,2.0172802024819525,2.0172802024819525,0.0,exact_match
2020-02-07,1027211.5,609618.5,417593.0,20.0,False,1027211.5,0.0,0.0,,,,0.00682974211548526,0.00682974211548526,0.0,2.7140319175881,2.7140319175881,0.0,exact_match
2020-02-10,1035165.5,609618.5,425547.0,20.0,False,1035165.5,0.0,0.0,,,,0.007743293372397098,0.007743293372397098,0.0,3.509376800187747,3.509376800187747,0.0,exact_match
2020-02-11,1026276.31,410748.31,615528.0,21.0,False,1026276.3100000004,3.4924596548080444e-10,0.0,,,,-0.008587216247063822,-0.00858721624706349,3.3306690738754696e-16,2.620519398005716,2.6205193980057606,4.440892098500626e-14,exact_match
2020-02-12,1034461.31,410748.31,623713.0,21.0,False,1034461.3100000004,3.4924596548080444e-10,0.0,,,,0.00797543499761777,0.00797543499761777,0.0,3.4389626798862816,3.438962679886326,4.440892098500626e-14,exact_match
2020-02-13,1024253.31,410748.31,613505.0,21.0,False,1024253.3100000004,3.4924596548080444e-10,0.0,,,,-0.00986793793186913,-0.00986793793186913,0.0,2.4182334164242425,2.418233416424287,4.440892098500626e-14,exact_match
2020-02-14,1025189.81,207014.81,818175.0,22.0,False,1025189.8000000004,-0.00999999966006726,-0.0,,,,0.0009143246019873708,0.0009143148387775746,-9.763209796176398e-09,2.5118769269289576,2.511875926998286,-9.999306715968714e-07,exact_match
2020-02-17,1057356.81,207014.81,850342.0,22.0,False,1057356.8000000005,-0.009999999543651938,-0.0,,,,0.03137662868498459,0.031376628991041544,3.060569575552563e-10,5.7283540250660625,5.728353025135413,-9.99930649392411e-07,exact_match
2020-02-18,1079507.81,207014.81,872493.0,22.0,False,1079507.8000000005,-0.009999999543651938,-0.0,,,,0.020949408743109244,0.0209494089412392,1.9812995688539559e-10,7.943300529273323,7.943299529342673,-9.99930649392411e-07,exact_match
2020-02-19,1067038.74,10150.74,1056888.0,22.0,False,1067033.7300000002,-5.009999999776483,-0.0005,,,,-0.011550699202444892,-0.011555331049947326,-4.631847502434283e-06,6.69647993394058,6.695978968657479,-0.0005009652831011735,small_diff
2020-02-20,1094924.74,10150.74,1084774.0,22.0,False,1094919.7300000002,-5.009999999776483,-0.0005,,,,0.026134008967659383,0.02613413167360701,1.2270594762497922e-07,9.484886697351858,9.484385732068779,-0.000500965283078969,small_diff
2020-02-21,1101702.06,12827.06,1088875.0,22.0,False,1101697.0500000005,-5.009999999543652,-0.0005,,,,0.006189758759127084,0.0061897870814697775,2.8322342693343217e-08,10.162571733778858,10.162070768495779,-0.000500965283078969,small_diff
2020-02-24,1100485.6,3511.6,1096974.0,13.0,False,1100480.5800000003,-5.019999999785796,-0.0005,,,,-0.0011041642238555083,-0.001104178321980842,-1.4098125333816824e-08,10.040934163262483,10.040432198048709,-0.0005019652137736585,small_diff
2020-02-25,1082962.6,3511.6,1079451.0,13.0,False,1082957.5800000003,-5.019999999785796,-0.0005,,,,-0.015922970732193176,-0.015923043367107814,-7.263491463849192e-08,8.288755589237674,8.288253624023877,-0.0005019652137967512,small_diff
2020-02-26,1077276.6,3511.6,1073765.0,13.0,False,1077271.5800000003,-5.019999999785796,-0.0005,,,,-0.00525041215643085,-0.005250436494474653,-2.4338043802529796e-08,7.7201949904871725,7.7196930252733775,-0.0005019652137949748,small_diff
2020-02-27,1079884.92,3871.92,1076013.0,13.0,False,1079879.91,-5.010000000009313,-0.0005,,,,0.0024212166123349643,0.0024212371777223574,2.0565387393034484e-08,7.981008916082111,7.980507950798987,-0.000500965283123378,small_diff
2020-02-28,1014740.92,3871.92,1010869.0,13.0,False,1014735.9100000004,-5.009999999660067,-0.0005,,,,-0.060324946476704056,-0.06032522634854787,-2.798718438112857e-07,1.4670603327189502,1.4665593674358712,-0.000500965283078969,small_diff
2020-03-02,1052892.92,3871.92,1049021.0,13.0,False,1052887.91,-5.010000000009313,-0.0005,,,,0.03759777421807331,0.03759795984750314,1.8562942982747188e-07,5.28199595768013,5.281494992397007,-0.000500965283123378,small_diff
2020-03-03,1058955.42,18.42,1058937.0,13.0,False,1058950.41,-5.010000000009313,-0.0005,,,,0.005757945451850821,0.005757972850120474,2.7398269653033935e-08,5.8882039474664305,5.887702982183329,-0.0005009652831011735,small_diff
2020-03-04,1079721.42,18.42,1079703.0,13.0,False,1079716.4100000004,-5.009999999543652,-0.0005,,,,0.019609890659986418,0.019609983436335243,9.277634882565167e-08,7.964660049058581,7.964159083775524,-0.0005009652830567646,small_diff
2020-03-05,1107307.42,18.42,1107289.0,13.0,False,1107302.41,-5.010000000009313,-0.0005,,,,0.025549182862371955,0.02554930141332168,1.1855094972368363e-07,10.723068891325816,10.722567926042714,-0.0005009652831020617,small_diff
2020-03-06,1114451.94,18.94,1114433.0,12.0,False,1114446.9300000002,-5.009999999776483,-0.0004,,,,0.006452155806921267,0.00645218499976008,2.9192838812974742e-08,11.437471383233122,11.436970417950043,-0.000500965283078969,small_diff
2020-03-09,1093413.94,18.94,1093395.0,12.0,False,1093408.9300000002,-5.009999999776483,-0.0005,,,,-0.018877440331792172,-0.018877525195389988,-8.486359781567643e-08,9.333817166470348,9.33331620118727,-0.000500965283078969,small_diff
2020-03-10,1127456.94,18.94,1127438.0,12.0,False,1127451.9300000002,-5.009999999776483,-0.0004,,,,0.031134594826914386,0.03113473748563589,1.426587215025421e-07,12.737881264828331,12.737380299545254,-0.0005009652830771927,small_diff
2020-03-11,1150210.44,44468.44,1105742.0,12.0,False,1150205.4300000002,-5.009999999776483,-0.0004,,,,0.02018125854101349,0.020181348219431294,8.967841780282981e-08,15.013073593999927,15.012572628716846,-0.0005009652830807454,small_diff
2020-03-12,1142979.44,44468.44,1098511.0,12.0,False,1142974.4300000002,-5.009999999776483,-0.0004,,,,-0.006286675679973874,-0.006286703063121513,-2.7383147638282423e-08,14.29002370135748,14.2895227360744,-0.0005009652830807454,small_diff
2020-03-13,1138335.11,61778.11,1076557.0,12.0,False,1138330.1000000003,-5.009999999776483,-0.0004,,,,-0.004063353930495728,-0.004063371741395705,-1.7810899977099837e-08,13.82562288433411,13.825121919051032,-0.0005009652830771927,small_diff
