date,jq_total_asset,local_total_asset,asset_diff,asset_diff_pct,jq_cash,local_cash,cash_diff,jq_position_value,local_position_value,position_value_diff,jq_position_count,local_position_count,position_count_diff,jq_daily_return,local_daily_return,daily_return_diff,jq_cum_return,local_cum_return,cum_return_diff,match_status,diff_reason
2026-05-22,995178.04,995178.04,0.0,0.0,10199.04,,,984979.0,,,13,,,0.03152373763460581,0.03152373763460581,0.0,-0.005976021838645318,-0.005976021838645318,0.0,exact_match,none
2026-05-25,977240.04,977240.04,0.0,0.0,10199.04,,,967041.0,,,13,,,-0.018024915421164245,-0.018024915421164245,0.0,-0.023893219971612867,-0.023893219971612867,0.0,exact_match,none
2026-05-26,958263.04,958263.04,0.0,0.0,10199.04,,,948064.0,,,13,,,-0.019418975096435864,-0.019418975096435864,0.0,-0.04284821322444643,-0.04284821322444643,0.0,exact_match,none
2026-05-27,935438.27,935438.26,0.010000000009313226,1.0690176398507824e-08,5323.27,,,930115.0,,,13,,,-0.023818898410190137,-0.02381890884573823,1.0435548092324609e-08,-0.06564651439678526,-0.06564652438518881,9.988403548710778e-09,exact_match,none
2026-05-28,933795.27,933795.26,0.010000000009313226,1.0708985617803655e-08,5323.27,,,928472.0,,,13,,,-0.0017563959618628333,-0.0017563959806390361,1.877620281476311e-11,-0.0672876090858513,-0.06728761907425473,9.988403437688476e-09,exact_match,none
2026-05-29,907128.27,907128.26,0.010000000009313226,1.1023799445199983e-08,5323.27,,,901805.0,,,13,,,-0.02855765161457713,-0.028557651920400606,3.0582347765317763e-10,-0.09392368460217682,-0.09392369459058036,9.988403548710778e-09,exact_match,none
2026-06-01,930927.41,930502.6,424.8100000000559,0.0004565382192377065,5291.41,,,925636.0,,,14,,,0.02623569431917283,0.02576740360839369,0.0004682907107791401,-0.07015214336155717,-0.07057646072909352,0.0004243173675363421,small_diff,cascade_residual
2026-06-02,898242.41,897509.6,732.8100000000559,0.0008164926592429272,5599.41,,,892643.0,,,14,,,-0.035110148921278395,-0.03545718195736369,0.000347033036085298,-0.10279924008226449,-0.103531200276479,0.0007319601942145093,small_diff,cascade_residual
2026-06-03,884565.41,883832.6,732.8100000000559,0.000829127597239631,5599.41,,,878966.0,,,14,,,-0.015226401968706837,-0.015238834214140962,1.2432245434124134e-05,-0.11646037949940113,-0.11719233969361575,0.0007319601942146203,small_diff,cascade_residual
2026-06-04,862527.42,861797.98,729.4400000000605,0.0008464164652602929,1203.42,,,861324.0,,,13,,,-0.024913917897829596,-0.024930761775476484,1.6843877646888217e-05,-0.13847281306403258,-0.13920140716627993,0.0007285941022473486,small_diff,cascade_residual
2026-06-05,879159.42,878421.98,737.4400000000605,0.0008395054049080837,1203.42,,,877956.0,,,13,,,0.019282865233432256,0.01928990365004113,-7.038416608873277e-06,-0.12186010042340834,-0.1225966852484266,0.0007365848250182605,small_diff,cascade_residual
2026-06-08,849374.42,848655.98,718.4400000000605,0.0008465621134255845,1203.42,,,848171.0,,,13,,,-0.03387895223826409,-0.03388576410622146,6.811867957368101e-06,-0.15161056013967777,-0.15232816699811524,0.0007176068584374695,small_diff,cascade_residual
2026-06-09,857494.42,856765.6,728.8200000000652,0.0008506644057605315,1225.42,,,856269.0,,,13,,,0.009559977094671712,0.009555839104556929,4.137990114783108e-06,-0.14349997652725177,-0.14422795134848443,0.0007279748212326576,small_diff,cascade_residual
2026-06-10,844124.42,843396.6,727.8200000000652,0.0008629629287100105,1225.42,,,842899.0,,,13,,,-0.015591938195935962,-0.01560403452239445,1.2096326458488349e-05,-0.15685447195805668,-0.1575814479389429,0.0007269759808862242,small_diff,cascade_residual
2026-06-11,833510.42,832793.6,716.8200000000652,0.0008607414850451123,1225.42,,,832285.0,,,13,,,-0.01257397576532615,-0.01257178414046256,-2.191624863590036e-06,-0.16745616339429914,-0.16817215213137549,0.0007159887370763451,small_diff,cascade_residual
2026-06-12,837698.57,836971.23,727.3399999999674,0.0008690143387604463,139.57,,,837559.0,,,13,,,0.005024712228552497,0.005016405025206838,8.30720334565882e-06,-0.16327287019770054,-0.16399936673522042,0.0007264965375198829,small_diff,cascade_residual
2026-06-15,825656.57,824921.23,735.3399999999674,0.000891406322516354,139.57,,,825517.0,,,13,,,-0.014375099148133952,-0.014397149589000846,2.2050440866894228e-05,-0.17530090564854206,-0.17603539290883286,0.0007344872602907948,small_diff,cascade_residual
2026-06-16,829190.57,828459.23,731.3399999999674,0.0008827712620209053,139.57,,,829051.0,,,13,,,0.004280229975036631,0.0042888943469183705,-8.664371881739186e-06,-0.17177100386451338,-0.17250149576341867,0.0007304918989052833,small_diff,cascade_residual
2026-06-17,806079.34,806524.23,-444.89000000001397,-0.0005516139298133846,1494.34,,,804585.0,,,13,,,-0.027872036702009217,-0.026476861148616804,-0.0013951755533924137,-0.19485543284246998,-0.1944110587607788,-0.000444374081691179,small_diff,cascade_residual
2026-06-18,801540.34,802753.23,-1212.890000000014,-0.0015109126374988414,1494.34,,,800046.0,,,13,,,-0.005630959354447684,-0.004675618982953544,-0.00095534037149414,-0.19938916917458838,-0.1981776857068943,-0.0012114834676940633,large_diff,cascade_residual
2026-06-22,815795.34,816518.23,-722.890000000014,-0.0008853323458559082,1494.34,,,814301.0,,,13,,,0.01778450726509906,0.01714723714036004,0.00063727012473902,-0.18515070003725675,-0.18442864833927808,-0.0007220516979786762,small_diff,cascade_residual
2026-06-23,834499.06,838096.23,-3597.1699999999255,-0.004292072761143342,1429.06,,,833070.0,,,13,,,0.022926975778018166,0.02642684413794405,-0.003499868359925884,-0.1664686698742759,-0.1628756713455678,-0.0035929985287080912,large_diff,cascade_residual
2026-06-24,788859.06,790987.23,-2128.1699999999255,-0.0026905238406945272,1429.06,,,787430.0,,,13,,,-0.05469149360096348,-0.056209535747464234,0.0015180421465007532,-0.21205574328204946,-0.2099300412221411,-0.002125702059908363,large_diff,cascade_residual
