date,gross_value,net_value,cum_cost,daily_trade_value
2020-08-07,1321087.4800000002,1309861.5943000002,11225.885700000006,0.0
2020-08-10,1355611.5000000002,1344332.9353000002,11278.564700000006,52679.0
2020-08-11,1330196.5200000005,1318858.8853000004,11337.634700000006,59069.99999999999
2020-08-12,1323352.3400000003,1312012.5243000004,11339.815700000006,2181.0
2020-08-13,1341636.6500000004,1330152.4913000003,11484.158700000007,144343.0
2020-08-14,1354490.41,1342997.0113,11493.398700000007,9240.0
2020-08-17,1355029.41,1343536.0113,11493.398700000007,0.0
2020-08-18,1364006.7700000005,1352446.9793000005,11559.790700000007,66392.0
2020-08-19,1364571.7700000005,1353011.9793000005,11559.790700000007,0.0
2020-08-20,1338217.39,1326649.2173,11568.172700000006,8382.0
2020-08-21,1347993.6,1336362.8293,11630.770700000006,62598.0
2020-08-24,1364693.6,1353062.8293,11630.770700000006,0.0
2020-08-25,1375934.6,1364300.4903000002,11634.109700000006,3339.0
2020-08-26,1345848.8800000004,1334195.2933000003,11653.586700000007,19477.0
2020-08-27,1394179.8800000004,1382526.2933000003,11653.586700000007,0.0
2020-08-28,1383927.8800000004,1372274.2933000003,11653.586700000007,0.0
2020-08-31,1387718.2800000005,1375979.4853000005,11738.794700000008,85208.0
2020-09-01,1409366.2800000005,1397627.4853000005,11738.794700000008,0.0
2020-09-02,1437967.6100000003,1426216.1403000003,11751.469700000007,12674.999999999998
2020-09-03,1433533.1,1421530.2483,12002.851700000007,251382.0
2020-09-04,1449594.1,1437591.2483,12002.851700000007,0.0
2020-09-07,1464144.1,1452141.2483,12002.851700000007,0.0
2020-09-08,1507027.4600000002,1494721.8683000002,12305.591700000006,302740.0
2020-09-09,1481844.2500000002,1469518.4433000002,12325.806700000006,20215.0
2020-09-10,1372872.2500000002,1360546.4433000002,12325.806700000006,0.0
2020-09-11,1376978.29,1364414.1893,12564.100700000006,238294.0
2020-09-14,1426673.2900000005,1414109.1893000004,12564.100700000006,0.0
2020-09-15,1446136.8400000003,1433473.2403000004,12663.599700000006,99499.0
2020-09-16,1420589.1300000004,1407607.6313000002,12981.498700000006,317899.0
2020-09-17,1432533.1300000004,1419551.6313000002,12981.498700000006,0.0
2020-09-18,1439770.1300000004,1426788.6313000002,12981.498700000006,0.0
2020-09-21,1426128.1900000002,1412919.7283,13208.461700000005,226963.0
2020-09-22,1410279.1900000002,1397070.7283,13208.461700000005,0.0
2020-09-23,1425576.1900000002,1412367.7283,13208.461700000005,0.0
2020-09-24,1373864.3800000004,1360356.3563000003,13508.023700000005,299562.0
2020-09-25,1367581.3800000004,1354073.3563000003,13508.023700000005,0.0
2020-09-28,1335560.3800000004,1322052.3563000003,13508.023700000005,0.0
2020-09-29,1354615.2300000002,1340869.5263000003,13745.703700000005,237680.0
2020-09-30,1349481.2300000002,1335734.5253,13746.704700000006,1001.0
2020-10-09,1396762.2300000002,1383015.5253,13746.704700000006,0.0
2020-10-12,1436302.6800000002,1422429.6623000002,13873.017700000006,126313.0
2020-10-13,1443643.6800000002,1429770.6623000002,13873.017700000006,0.0
2020-10-14,1431116.6800000002,1417243.6623000002,13873.017700000006,0.0
2020-10-15,1430355.0600000003,1416337.9463000002,14017.113700000005,144096.0
2020-10-16,1442999.0600000003,1428981.9463000002,14017.113700000005,0.0
2020-10-19,1434750.3000000005,1420680.6763000004,14069.623700000006,52510.0
2020-10-20,1460424.7800000005,1446127.3163000005,14297.463700000006,227840.0
2020-10-21,1431355.7800000005,1417058.3163000005,14297.463700000006,0.0
2020-10-22,1439124.7800000005,1424827.3163000005,14297.463700000006,0.0
2020-10-23,1426727.0400000005,1412287.1213000005,14439.918700000006,142455.0
2020-10-26,1423211.0400000005,1408771.1213000005,14439.918700000006,0.0
2020-10-27,1419610.0400000005,1405170.1213000005,14439.918700000006,0.0
2020-10-28,1419492.5000000002,1404816.5003000002,14675.999700000006,236081.0
2020-10-29,1422120.5000000002,1407444.5003000002,14675.999700000006,0.0
2020-10-30,1372546.5000000002,1357870.5003000002,14675.999700000006,0.0
2020-11-02,1383756.9800000002,1368794.6013000002,14962.378700000007,286379.0
2020-11-03,1412661.9800000002,1397699.6013000002,14962.378700000007,0.0
2020-11-04,1404813.9800000002,1389851.6013000002,14962.378700000007,0.0
2020-11-05,1431163.7200000002,1415954.7913000002,15208.928700000006,246550.0
2020-11-06,1410001.7200000002,1394792.7913000002,15208.928700000006,0.0
2020-11-09,1432933.7200000002,1417724.7913000002,15208.928700000006,0.0
2020-11-10,1424023.8400000003,1408633.1613000003,15390.678700000006,181750.0
2020-11-11,1423640.8400000003,1408250.1613000003,15390.678700000006,0.0
2020-11-12,1432675.0900000003,1417283.6603000003,15391.429700000006,751.0
2020-11-13,1425504.6800000002,1409922.4193000002,15582.260700000006,190831.0
2020-11-16,1436901.6800000002,1421319.4193000002,15582.260700000006,0.0
2020-11-17,1425027.6800000002,1409445.4193000002,15582.260700000006,0.0
2020-11-18,1443929.4400000002,1428223.0213000001,15706.418700000006,124158.0
2020-11-19,1443769.4400000002,1428063.0213000001,15706.418700000006,0.0
2020-11-20,1449681.4400000002,1433975.0213000001,15706.418700000006,0.0
2020-11-23,1465570.0500000005,1449733.7623000005,15836.287700000006,129869.0
2020-11-24,1456118.0500000005,1440281.7623000005,15836.287700000006,0.0
2020-11-25,1432800.0500000005,1416963.7623000005,15836.287700000006,0.0
2020-11-26,1425234.2200000002,1409149.4493000002,16084.770700000006,248483.0
2020-11-27,1434806.2200000002,1418721.4493000002,16084.770700000006,0.0
2020-11-30,1437487.2200000002,1421402.4493000002,16084.770700000006,0.0
2020-12-01,1454358.2000000002,1438080.8763000001,16277.323700000006,192553.0
2020-12-02,1460965.2000000002,1444687.8763000001,16277.323700000006,0.0
2020-12-03,1451899.2000000002,1435621.8763000001,16277.323700000006,0.0
2020-12-04,1464729.6500000004,1448321.6463000004,16408.003700000005,130680.0
2020-12-07,1469235.6500000004,1452827.6463000004,16408.003700000005,0.0
2020-12-08,1463901.6500000004,1447493.6463000004,16408.003700000005,0.0
2020-12-09,1434623.8500000003,1418077.9953000003,16545.854700000004,137851.0
2020-12-10,1436589.85,1420043.9953,16545.854700000004,0.0
2020-12-11,1421960.8500000003,1405414.9953000003,16545.854700000004,0.0
2020-12-14,1423329.7200000002,1406517.0893,16812.630700000005,266776.0
2020-12-15,1398841.7200000002,1382029.0893,16812.630700000005,0.0
2020-12-16,1365757.7200000002,1348945.0893,16812.630700000005,0.0
2020-12-17,1384734.1100000003,1367749.7173000004,16984.392700000004,171762.0
2020-12-18,1372020.1100000003,1355035.7173000004,16984.392700000004,0.0
2020-12-21,1380670.1100000003,1363685.7173000004,16984.392700000004,0.0
2020-12-22,1340024.4700000002,1322851.0523,17173.417700000005,189025.0
2020-12-23,1336916.4700000002,1319743.0523,17173.417700000005,0.0
2020-12-24,1296187.4700000002,1279014.0523,17173.417700000005,0.0
2020-12-25,1316447.4500000002,1299107.8293,17339.620700000007,166203.0
2020-12-28,1285930.4500000002,1268590.8293,17339.620700000007,0.0
2020-12-29,1294648.4500000002,1277308.8293,17339.620700000007,0.0
2020-12-30,1299821.3100000003,1282312.6493000002,17508.660700000008,169040.0
2020-12-31,1322993.3100000003,1305484.6493000002,17508.660700000008,0.0
2021-01-04,1318632.0500000007,1298492.9887000008,20139.06130000001,2630400.5999999996
2021-01-05,1318841.6500000006,1298702.5887000007,20139.06130000001,0.0
2021-01-06,1319378.7500000005,1299239.6887000005,20139.06130000001,0.0
2021-01-07,1319666.950000001,1299527.888700001,20139.06130000001,0.0
2021-01-08,1319588.3500000006,1299449.2887000006,20139.06130000001,0.0
2021-01-11,1319509.7500000007,1299370.6887000008,20139.06130000001,0.0
2021-01-12,1319732.4500000004,1299593.3887000005,20139.06130000001,0.0
2021-01-13,1319496.6500000006,1299357.5887000007,20139.06130000001,0.0
2021-01-14,1319483.5500000007,1299344.4887000008,20139.06130000001,0.0
2021-01-15,1319732.4500000004,1299593.3887000005,20139.06130000001,0.0
2021-01-18,1319876.5500000007,1299737.4887000008,20139.06130000001,0.0
2021-01-19,1319837.2500000007,1299698.1887000008,20139.06130000001,0.0
2021-01-20,1319955.1500000006,1299816.0887000007,20139.06130000001,0.0
2021-01-21,1319968.2500000005,1299829.1887000005,20139.06130000001,0.0
2021-01-22,1320269.5500000007,1300130.4887000008,20139.06130000001,0.0
2021-01-25,1320321.950000001,1300182.888700001,20139.06130000001,0.0
2021-01-26,1320361.2500000005,1300222.1887000005,20139.06130000001,0.0
2021-01-27,1320400.5500000005,1300261.4887000006,20139.06130000001,0.0
2021-01-28,1320348.1500000006,1300209.0887000007,20139.06130000001,0.0
2021-01-29,1320741.1500000006,1300602.0887000007,20139.06130000001,0.0
2021-02-01,1320806.6500000006,1299353.5277000007,21453.12230000001,1314061.0
2021-02-02,1318150.6500000006,1296436.5037000007,21714.14630000001,261024.0
2021-02-03,1314352.6500000006,1292638.5037000007,21714.14630000001,0.0
2021-02-04,1305493.6500000006,1283779.5037000007,21714.14630000001,0.0
2021-02-05,1297027.6500000006,1275040.1947000006,21987.455300000012,273309.0
2021-02-08,1291417.6500000006,1269430.1947000006,21987.455300000012,0.0
2021-02-09,1293186.6500000006,1271199.1947000006,21987.455300000012,0.0
2021-02-10,1299454.6500000006,1277201.7827000006,22252.867300000013,265412.0
2021-02-18,1347284.6500000006,1325031.7827000006,22252.867300000013,0.0
2021-02-19,1405896.6500000006,1383643.7827000006,22252.867300000013,0.0
2021-02-22,1462725.0400000005,1440198.6007000005,22526.439300000013,273572.0
2021-02-23,1472282.5300000007,1449732.5817000007,22549.94830000001,23509.0
2021-02-24,1518789.0700000003,1496221.6617000003,22567.40830000001,17460.0
2021-02-25,1513494.7300000004,1490599.3617000005,22895.36830000001,327960.0
2021-02-26,1555216.4400000004,1532298.7837000005,22917.65630000001,22288.0
2021-03-01,1594739.3900000006,1571808.9237000006,22930.46630000001,12810.0
2021-03-02,1544575.6700000006,1521447.4467000007,23128.223300000012,197757.0
2021-03-03,1562235.6700000006,1539107.4467000007,23128.223300000012,0.0
2021-03-04,1565686.6700000006,1542558.4467000007,23128.223300000012,0.0
2021-03-05,1592837.1800000006,1569476.4527000007,23360.727300000013,232504.0
2021-03-08,1597680.1800000006,1574319.4527000007,23360.727300000013,0.0
2021-03-09,1565771.1800000006,1542410.4527000007,23360.727300000013,0.0
2021-03-10,1512910.8800000006,1489362.1047000005,23548.775300000012,188048.0
2021-03-11,1548952.8800000006,1525404.1047000005,23548.775300000012,0.0
2021-03-12,1547689.8800000006,1524141.1047000005,23548.775300000012,0.0
2021-03-15,1564859.8700000006,1541069.5237000005,23790.346300000012,241571.0
2021-03-16,1597583.8700000006,1573793.5237000005,23790.346300000012,0.0
2021-03-17,1612527.8700000006,1588737.5237000005,23790.346300000012,0.0
2021-03-18,1646413.6700000006,1622412.3787000007,24001.29130000001,210945.0
2021-03-19,1663883.970000001,1639842.973700001,24040.996300000013,39705.0
2021-03-22,1664559.2300000004,1640513.4907000004,24045.739300000012,4743.0
2021-03-23,1629827.9800000004,1605635.0797000004,24192.900300000012,147161.0
2021-03-24,1637839.9800000004,1613647.0797000004,24192.900300000012,0.0
2021-03-25,1629309.9800000004,1605116.0957000004,24193.884300000012,984.0
2021-03-26,1655134.2700000005,1630861.0877000005,24273.18230000001,79298.0
2021-03-29,1660924.2700000007,1636651.0877000007,24273.18230000001,0.0
