code,open_date,close_date,quantity,buy_price,sell_price,gross_pnl,gross_return,holding_days
002856.XSHE,2025-02-18,2025-04-01,2400,9.250000,8.520000,-1752.000000,-0.078919,42
002856.XSHE,2025-02-21,2025-04-01,2400,9.140000,8.520000,-1488.000000,-0.067834,39
002856.XSHE,2025-02-26,2025-04-01,2600,8.890000,8.520000,-962.000000,-0.041620,34
002856.XSHE,2025-03-03,2025-04-01,2500,8.790000,8.520000,-675.000000,-0.030717,29
002856.XSHE,2025-03-11,2025-04-01,200,9.080000,8.520000,-112.000000,-0.061674,21
002856.XSHE,2025-03-24,2025-04-01,100,9.240000,8.520000,-72.000000,-0.077922,8
600768.XSHG,2025-02-21,2025-04-01,2200,9.660000,9.080000,-1276.000000,-0.060041,39
600768.XSHG,2025-02-26,2025-04-01,2500,9.360000,9.080000,-700.000000,-0.029915,34
600768.XSHG,2025-03-03,2025-04-01,2200,9.380000,9.080000,-660.000000,-0.031983,29
600768.XSHG,2025-03-06,2025-04-01,1800,9.680000,9.080000,-1080.000000,-0.061983,26
600768.XSHG,2025-03-11,2025-04-01,400,9.660000,9.080000,-232.000000,-0.060041,21
600753.XSHG,2025-03-03,2025-04-01,3400,5.290000,5.200000,-306.000000,-0.017013,29
600753.XSHG,2025-03-06,2025-04-01,4100,5.300000,5.200000,-410.000000,-0.018868,26
600753.XSHG,2025-03-11,2025-04-01,3600,5.560000,5.200000,-1296.000000,-0.064748,21
300736.XSHE,2025-02-26,2025-04-01,1400,10.320000,8.590000,-2422.000000,-0.167636,34
300736.XSHE,2025-03-06,2025-04-01,4800,9.840000,8.590000,-6000.000000,-0.127033,26
300736.XSHE,2025-03-11,2025-04-01,1700,9.610000,8.590000,-1734.000000,-0.106139,21
300736.XSHE,2025-03-14,2025-04-01,3400,9.550000,8.590000,-3264.000000,-0.100524,18
300736.XSHE,2025-03-24,2025-04-01,400,9.370000,8.590000,-312.000000,-0.083244,8
300736.XSHE,2025-03-27,2025-04-01,100,9.100000,8.590000,-51.000000,-0.056044,5
600243.XSHG,2025-03-14,2025-04-01,15000,2.890000,2.610000,-4200.000000,-0.096886,18
600243.XSHG,2025-03-19,2025-04-01,7400,2.980000,2.610000,-2738.000000,-0.124161,13
600421.XSHG,2025-03-14,2025-04-01,1300,6.520000,6.700000,234.000000,0.027607,18
600421.XSHG,2025-03-19,2025-04-01,3600,6.600000,6.700000,360.000000,0.015152,13
600421.XSHG,2025-03-24,2025-04-01,2900,6.290000,6.700000,1189.000000,0.065183,8
600421.XSHG,2025-03-27,2025-04-01,600,6.910000,6.700000,-126.000000,-0.030391,5
300665.XSHE,2025-03-27,2025-04-01,2700,6.790000,6.490000,-810.000000,-0.044183,5
511880.XSHG,2025-04-01,2025-05-06,9000,100.383000,100.486000,927.000000,0.001026,35
605081.XSHG,2025-02-05,2025-05-06,400,8.320000,11.300000,1192.000000,0.358173,90
605081.XSHG,2025-02-10,2025-05-06,1800,9.700000,11.300000,2880.000000,0.164948,85
605081.XSHG,2025-02-13,2025-05-06,2200,9.630000,11.300000,3674.000000,0.173416,82
605081.XSHG,2025-02-18,2025-05-06,2200,10.010000,11.300000,2838.000000,0.128871,77
605081.XSHG,2025-02-21,2025-05-06,2400,9.780000,11.300000,3648.000000,0.155419,74
605081.XSHG,2025-03-03,2025-05-06,200,9.900000,11.300000,280.000000,0.141414,64
605081.XSHG,2025-03-06,2025-05-06,300,9.500000,11.300000,540.000000,0.189474,61
605081.XSHG,2025-03-27,2025-05-06,300,10.960000,11.300000,102.000000,0.031022,40
002719.XSHE,2025-05-06,2025-05-09,100,8.000000,8.620000,62.000000,0.077500,3
002719.XSHE,2025-05-06,2025-05-27,2400,8.000000,8.750000,1800.000000,0.093750,21
603616.XSHG,2025-05-09,2025-05-27,100,3.770000,3.940000,17.000000,0.045093,18
603616.XSHG,2025-05-09,2025-05-30,5300,3.770000,4.090000,1696.000000,0.084881,21
301372.XSHE,2025-05-06,2025-06-05,100,19.220000,22.440000,322.000000,0.167534,30
002193.XSHE,2025-05-06,2025-06-05,200,5.160000,5.840000,136.000000,0.131783,30
300736.XSHE,2025-05-06,2025-06-10,100,9.440000,10.510000,107.000000,0.113347,35
300929.XSHE,2025-05-06,2025-06-10,100,9.280000,10.340000,106.000000,0.114224,35
300635.XSHE,2025-05-06,2025-06-13,100,9.730000,11.090000,136.000000,0.139774,38
603729.XSHG,2025-05-14,2025-06-13,1300,15.530000,16.960000,1859.000000,0.092080,30
300635.XSHE,2025-05-06,2025-06-18,1900,9.730000,11.350000,3078.000000,0.166495,43
300635.XSHE,2025-05-09,2025-06-18,400,10.160000,11.350000,476.000000,0.117126,40
603729.XSHG,2025-05-19,2025-06-18,1200,15.610000,16.490000,1056.000000,0.056374,30
300405.XSHE,2025-05-06,2025-06-23,400,4.890000,5.070000,72.000000,0.036810,48
002193.XSHE,2025-05-06,2025-06-26,400,5.160000,5.990000,332.000000,0.160853,51
300405.XSHE,2025-05-06,2025-06-26,500,4.890000,5.620000,365.000000,0.149284,51
300635.XSHE,2025-05-09,2025-06-26,1600,10.160000,12.310000,3440.000000,0.211614,48
300635.XSHE,2025-05-14,2025-06-26,2100,10.010000,12.310000,4830.000000,0.229770,43
300635.XSHE,2025-05-19,2025-06-26,300,10.110000,12.310000,660.000000,0.217606,38
300635.XSHE,2025-05-19,2025-07-01,1700,10.110000,12.590000,4216.000000,0.245302,43
300665.XSHE,2025-05-06,2025-07-01,900,7.270000,8.720000,1305.000000,0.199450,56
300665.XSHE,2025-05-06,2025-07-02,1300,7.270000,9.870000,3380.000000,0.357634,57
300635.XSHE,2025-05-22,2025-07-04,1800,10.460000,12.050000,2862.000000,0.152008,43
300635.XSHE,2025-06-05,2025-07-04,100,10.640000,12.050000,141.000000,0.132519,29
300665.XSHE,2025-05-06,2025-07-04,600,7.270000,8.890000,972.000000,0.222834,59
300665.XSHE,2025-05-09,2025-07-04,700,7.560000,8.890000,931.000000,0.175926,56
300405.XSHE,2025-05-06,2025-07-04,400,4.890000,6.000000,444.000000,0.226994,59
600847.XSHG,2025-06-13,2025-07-04,2100,10.150000,12.500000,4935.000000,0.231527,21
600847.XSHG,2025-06-18,2025-07-04,200,10.030000,12.500000,494.000000,0.246261,16
300948.XSHE,2025-05-06,2025-07-09,100,9.600000,11.130000,153.000000,0.159375,64
300665.XSHE,2025-05-09,2025-07-09,1900,7.560000,9.160000,3040.000000,0.211640,61
300665.XSHE,2025-05-14,2025-07-09,900,7.390000,9.160000,1593.000000,0.239513,56
600847.XSHG,2025-06-18,2025-07-09,1900,10.030000,11.290000,2394.000000,0.125623,21
002193.XSHE,2025-05-06,2025-07-14,100,5.160000,6.150000,99.000000,0.191860,69
600768.XSHG,2025-05-06,2025-07-14,300,10.240000,11.990000,525.000000,0.170898,69
300665.XSHE,2025-05-14,2025-07-14,2000,7.390000,9.130000,3480.000000,0.235453,61
300665.XSHE,2025-05-19,2025-07-14,600,7.490000,9.130000,984.000000,0.218959,56
300405.XSHE,2025-05-06,2025-07-14,2800,4.890000,5.860000,2716.000000,0.198364,69
300405.XSHE,2025-05-09,2025-07-14,1000,5.160000,5.860000,700.000000,0.135659,66
002193.XSHE,2025-05-06,2025-07-17,100,5.160000,6.200000,104.000000,0.201550,72
300665.XSHE,2025-05-19,2025-07-17,2100,7.490000,8.820000,2793.000000,0.177570,59
300665.XSHE,2025-05-22,2025-07-17,400,7.580000,8.820000,496.000000,0.163588,56
000890.XSHE,2025-07-14,2025-07-17,300,3.920000,4.220000,90.000000,0.076531,3
300948.XSHE,2025-05-06,2025-07-22,400,9.600000,12.010000,964.000000,0.251042,77
300665.XSHE,2025-05-22,2025-07-22,2300,7.580000,10.400000,6486.000000,0.372032,61
300665.XSHE,2025-05-27,2025-07-22,200,7.420000,10.400000,596.000000,0.401617,56
300665.XSHE,2025-06-05,2025-07-22,200,7.540000,10.400000,572.000000,0.379310,47
300405.XSHE,2025-05-09,2025-07-22,2800,5.160000,6.960000,5040.000000,0.348837,74
300405.XSHE,2025-05-14,2025-07-22,2700,5.260000,6.960000,4590.000000,0.323194,69
300736.XSHE,2025-05-06,2025-07-25,100,9.440000,11.130000,169.000000,0.179025,80
002193.XSHE,2025-05-06,2025-07-25,200,5.160000,6.390000,246.000000,0.238372,80
600768.XSHG,2025-05-06,2025-07-25,100,10.240000,12.640000,240.000000,0.234375,80
300405.XSHE,2025-05-14,2025-07-25,1100,5.260000,6.710000,1595.000000,0.275665,72
300405.XSHE,2025-05-19,2025-07-25,2100,5.220000,6.710000,3129.000000,0.285441,67
002719.XSHE,2025-06-18,2025-07-25,100,8.770000,9.470000,70.000000,0.079818,37
300405.XSHE,2025-05-19,2025-07-30,2000,5.220000,6.490000,2540.000000,0.243295,72
300405.XSHE,2025-05-22,2025-07-30,1500,5.220000,6.490000,1905.000000,0.243295,69
001211.XSHE,2025-07-09,2025-07-30,900,23.230000,23.860000,567.000000,0.027120,21
301372.XSHE,2025-05-06,2025-07-30,900,19.220000,30.020000,9720.000000,0.561915,85
301372.XSHE,2025-05-09,2025-07-30,800,20.550000,30.020000,7576.000000,0.460827,82
301372.XSHE,2025-05-09,2025-08-04,200,20.550000,27.150000,1320.000000,0.321168,87
301372.XSHE,2025-05-14,2025-08-04,400,20.400000,27.150000,2700.000000,0.330882,82
002719.XSHE,2025-06-18,2025-08-04,300,8.770000,9.470000,210.000000,0.079818,47
600671.XSHG,2025-07-14,2025-08-04,1700,13.650000,15.530000,3196.000000,0.137729,21
300736.XSHE,2025-05-06,2025-08-07,200,9.440000,12.000000,512.000000,0.271186,93
300929.XSHE,2025-05-06,2025-08-07,100,9.280000,11.800000,252.000000,0.271552,93
301372.XSHE,2025-05-14,2025-08-07,600,20.400000,26.900000,3900.000000,0.318627,85
301372.XSHE,2025-05-19,2025-08-07,200,20.790000,26.900000,1222.000000,0.293891,80
600768.XSHG,2025-05-06,2025-08-07,100,10.240000,13.070000,283.000000,0.276367,93
300405.XSHE,2025-05-22,2025-08-07,2700,5.220000,6.380000,3132.000000,0.222222,77
300405.XSHE,2025-05-30,2025-08-07,100,5.260000,6.380000,112.000000,0.212928,69
300405.XSHE,2025-06-10,2025-08-07,100,5.410000,6.380000,97.000000,0.179298,58
300405.XSHE,2025-06-18,2025-08-07,500,5.180000,6.380000,600.000000,0.231660,50
300405.XSHE,2025-07-01,2025-08-07,200,5.740000,6.380000,128.000000,0.111498,37
300405.XSHE,2025-07-09,2025-08-07,300,5.900000,6.380000,144.000000,0.081356,29
000890.XSHE,2025-07-14,2025-08-07,900,3.920000,4.360000,396.000000,0.112245,24
301372.XSHE,2025-05-19,2025-08-12,700,20.790000,27.850000,4942.000000,0.339586,85
301372.XSHE,2025-05-22,2025-08-12,300,20.960000,27.850000,2067.000000,0.328721,82
002719.XSHE,2025-06-18,2025-08-12,300,8.770000,10.130000,408.000000,0.155074,55
000890.XSHE,2025-07-14,2025-08-12,300,3.920000,4.560000,192.000000,0.163265,29
603709.XSHG,2025-07-22,2025-08-12,1800,13.530000,15.310000,3204.000000,0.131559,21
603709.XSHG,2025-07-25,2025-08-12,100,13.540000,15.310000,177.000000,0.130724,18
300736.XSHE,2025-05-06,2025-08-15,200,9.440000,11.900000,492.000000,0.260593,101
301372.XSHE,2025-05-22,2025-08-15,700,20.960000,26.450000,3843.000000,0.261927,85
301372.XSHE,2025-07-01,2025-08-15,200,22.780000,26.450000,734.000000,0.161106,45
301372.XSHE,2025-07-25,2025-08-15,100,23.800000,26.450000,265.000000,0.111345,21
001211.XSHE,2025-07-09,2025-08-15,1100,23.230000,24.320000,1199.000000,0.046922,37
603709.XSHG,2025-07-25,2025-08-15,1700,13.540000,15.470000,3281.000000,0.142541,21
603709.XSHG,2025-07-30,2025-08-15,100,13.580000,15.470000,189.000000,0.139175,16
300948.XSHE,2025-05-06,2025-08-20,400,9.600000,12.540000,1176.000000,0.306250,106
000890.XSHE,2025-07-14,2025-08-20,4400,3.920000,4.330000,1804.000000,0.104592,37
000890.XSHE,2025-07-22,2025-08-20,300,4.100000,4.330000,69.000000,0.056098,29
000890.XSHE,2025-07-25,2025-08-20,100,4.050000,4.330000,28.000000,0.069136,26
000890.XSHE,2025-07-30,2025-08-20,900,3.970000,4.330000,324.000000,0.090680,21
603709.XSHG,2025-07-30,2025-08-20,800,13.580000,14.600000,816.000000,0.075110,21
603709.XSHG,2025-08-04,2025-08-20,900,13.710000,14.600000,801.000000,0.064916,16
300163.XSHE,2025-07-30,2025-08-20,100,3.360000,3.390000,3.000000,0.008929,21
300854.XSHE,2025-08-07,2025-08-20,300,17.950000,18.600000,195.000000,0.036212,13
300163.XSHE,2025-08-04,2025-08-25,400,3.330000,3.440000,44.000000,0.033033,21
300854.XSHE,2025-08-07,2025-08-25,1800,17.950000,20.450000,4500.000000,0.139276,18
300736.XSHE,2025-05-06,2025-08-28,800,9.440000,13.000000,2848.000000,0.377119,114
001211.XSHE,2025-07-17,2025-08-28,1000,23.000000,24.540000,1540.000000,0.066957,42
300163.XSHE,2025-08-04,2025-08-28,700,3.330000,3.410000,56.000000,0.024024,24
300854.XSHE,2025-08-07,2025-08-28,400,17.950000,19.700000,700.000000,0.097493,21
300854.XSHE,2025-08-12,2025-08-28,800,17.510000,19.700000,1752.000000,0.125071,16
002719.XSHE,2025-06-18,2025-09-02,1700,8.770000,9.600000,1411.000000,0.094641,76
002719.XSHE,2025-06-23,2025-09-02,200,8.410000,9.600000,238.000000,0.141498,71
002719.XSHE,2025-06-26,2025-09-02,600,8.800000,9.600000,480.000000,0.090909,68
001211.XSHE,2025-07-22,2025-09-02,1100,23.540000,26.120000,2838.000000,0.109601,42
300163.XSHE,2025-08-04,2025-09-02,8700,3.330000,3.520000,1653.000000,0.057057,29
300854.XSHE,2025-08-12,2025-09-02,1100,17.510000,21.400000,4279.000000,0.222159,21
300854.XSHE,2025-08-15,2025-09-02,300,16.630000,21.400000,1431.000000,0.286831,18
002193.XSHE,2025-05-06,2025-09-05,300,5.160000,5.880000,216.000000,0.139535,122
000890.XSHE,2025-07-30,2025-09-05,300,3.970000,4.030000,18.000000,0.015113,37
300854.XSHE,2025-08-15,2025-09-05,1300,16.630000,19.810000,4134.000000,0.191221,21
600847.XSHG,2025-08-15,2025-09-05,2200,11.390000,10.900000,-1078.000000,-0.043020,21
600847.XSHG,2025-08-20,2025-09-05,200,11.630000,10.900000,-146.000000,-0.062769,16
300163.XSHE,2025-08-04,2025-09-10,200,3.330000,3.530000,40.000000,0.060060,37
