date,code,side,jq_price,local_price,price_diff,jq_amount,local_amount,amount_diff,jq_value,local_value,value_diff,jq_commission,local_commission,commission_diff,match_status,diff_reason
2025-03-06,603316.XSHG,buy,5.99,5.99,0.0,100,100,0,599.0,599.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-06,603813.XSHG,sell,14.21,14.21,0.0,0,1600,1600,0.0,22736.0,22736.0,27.74,5.0,-22.74,amount_diff,fill quantity difference
2025-03-06,605081.XSHG,buy,9.5,9.5,0.0,300,300,0,2850.0,2850.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-11,000691.XSHE,buy,3.19,3.19,0.0,300,300,0,957.0,957.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-11,000929.XSHE,sell,7.41,7.41,0.0,0,4500,4500,0.0,33345.0,33345.0,38.34,5.0,-33.34,amount_diff,fill quantity difference
2025-03-11,002620.XSHE,sell,3.66,3.66,0.0,0,5800,5800,0.0,21228.0,21228.0,26.23,5.0,-21.23,amount_diff,fill quantity difference
2025-03-11,002848.XSHE,buy,6.66,6.66,0.0,100,100,0,666.0,666.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-11,002848.XSHE,buy,,6.66,,,100,,,666.0,,,5.0,,missing_in_jq,extra local trade not in JQ
2025-03-11,002856.XSHE,buy,9.08,9.08,0.0,200,200,0,1816.0,1816.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-11,300736.XSHE,buy,9.61,9.61,0.0,1800,1700,-100,17298.0,16336.999999999998,-961.0000000000018,5.0,5.0,0.0,amount_diff,fill quantity difference
2025-03-11,600753.XSHG,buy,5.56,5.56,0.0,3600,3600,0,20016.0,20016.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-11,600768.XSHG,buy,9.66,9.66,0.0,400,400,0,3864.0,3864.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-11,603316.XSHG,sell,6.19,6.19,0.0,0,3500,3500,0.0,21665.0,21665.0,26.66,5.0,-21.66,amount_diff,fill quantity difference
2025-03-11,605081.XSHG,sell,10.23,10.23,0.0,0,300,300,0.0,3069.0,3069.0,8.07,5.0,-3.0700000000000003,amount_diff,fill quantity difference
2025-03-14,000668.XSHE,buy,5.82,5.82,0.0,100,100,0,582.0,582.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-14,000691.XSHE,buy,2.97,2.97,0.0,2600,2600,0,7722.000000000001,7722.000000000001,0.0,5.0,5.0,0.0,exact_match,
2025-03-14,000929.XSHE,sell,7.27,7.27,0.0,0,2800,2800,0.0,20356.0,20356.0,25.36,5.0,-20.36,amount_diff,fill quantity difference
2025-03-14,002848.XSHE,sell,7.0,7.0,0.0,0,200,200,0.0,1400.0,1400.0,5.7,5.0,-0.7000000000000002,amount_diff,fill quantity difference
2025-03-14,002856.XSHE,sell,9.36,9.36,0.0,0,200,200,0.0,1872.0,1872.0,6.87,5.0,-1.87,amount_diff,fill quantity difference
2025-03-14,300736.XSHE,buy,9.55,9.55,0.0,3300,3400,100,31515.000000000004,32470.000000000004,955.0,5.0,5.0,0.0,amount_diff,fill quantity difference
2025-03-14,600243.XSHG,buy,2.89,2.89,0.0,15200,15200,0,43928.0,43928.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-14,600421.XSHG,buy,6.52,6.52,0.0,3200,3200,0,20864.0,20864.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-14,600768.XSHG,sell,9.56,9.56,0.0,0,2100,2100,0.0,20076.0,20076.0,25.08,5.0,-20.08,amount_diff,fill quantity difference
2025-03-14,603813.XSHG,sell,14.9,14.9,0.0,0,1500,1500,0.0,22350.0,22350.0,27.35,5.0,-22.35,amount_diff,fill quantity difference
2025-03-14,605081.XSHG,sell,10.49,10.49,0.0,0,300,300,0.0,3147.0,3147.0,8.15,5.0,-3.1500000000000004,amount_diff,fill quantity difference
2025-03-19,000691.XSHE,buy,2.98,2.98,0.0,900,900,0,2682.0,2682.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-19,000929.XSHE,sell,7.31,7.31,0.0,0,2900,2900,0.0,21199.0,21199.0,26.2,5.0,-21.2,amount_diff,fill quantity difference
2025-03-19,300736.XSHE,sell,10.0,10.0,0.0,0,200,200,0.0,2000.0,2000.0,7.0,5.0,-2.0,amount_diff,fill quantity difference
2025-03-19,600243.XSHG,buy,2.98,2.98,0.0,7400,7400,0,22052.0,22052.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-19,600421.XSHG,buy,6.6,6.6,0.0,3600,3600,0,23760.0,23760.0,0.0,5.0,5.0,0.0,exact_match,
