date,code,side,jq_price,local_price,price_diff,jq_amount,local_amount,amount_diff,jq_value,local_value,value_diff,jq_commission,local_commission,commission_diff,match_status,diff_reason
2026-05-19,600455.XSHG,buy,29.71,29.71,0.0,700,700,0,20797.0,20797.0,0.0,,,,exact_match,
2026-05-19,300665.XSHE,sell,9.85,9.85,0.0,300,400,100,2955.0,3940.0,985.0,,,,amount_diff,fill quantity or price difference
2026-05-19,300929.XSHE,buy,14.0,14.0,0.0,1500,1500,0,21000.0,21000.0,0.0,,,,exact_match,
2026-05-19,300417.XSHE,buy,15.23,15.23,0.0,1300,1300,0,19799.0,19799.0,0.0,,,,exact_match,
2026-05-19,300405.XSHE,buy,7.28,7.28,0.0,2700,2800,100,19656.0,20384.0,728.0,,,,amount_diff,fill quantity or price difference
2026-05-19,600561.XSHG,buy,6.94,6.94,0.0,3100,3100,0,21514.0,21514.0,0.0,,,,exact_match,
2026-05-19,301167.XSHE,buy,17.52,17.52,0.0,1200,1200,0,21024.0,21024.0,0.0,,,,exact_match,
2026-05-19,600697.XSHG,buy,12.48,12.48,0.0,1600,1600,0,19968.0,19968.0,0.0,,,,exact_match,
2026-05-19,600493.XSHG,buy,7.4,7.4,0.0,2700,2700,0,19980.0,19980.0,0.0,,,,exact_match,
2026-05-19,300535.XSHE,buy,18.56,18.56,0.0,1100,1100,0,20416.0,20416.0,0.0,,,,exact_match,
2026-05-22,301098.XSHE,buy,10.3,10.3,0.0,1900,1900,0,19570.0,19570.0,0.0,,,,exact_match,
2026-05-22,600455.XSHG,buy,28.62,28.62,0.0,600,600,0,17172.0,17172.0,0.0,,,,exact_match,
2026-05-22,300929.XSHE,buy,13.25,13.25,0.0,1600,1600,0,21200.0,21200.0,0.0,,,,exact_match,
2026-05-22,300417.XSHE,buy,14.48,14.48,0.0,1400,1400,0,20272.0,20272.0,0.0,,,,exact_match,
2026-05-22,300405.XSHE,buy,6.87,6.87,0.0,100,100,0,687.0,687.0,0.0,,,,exact_match,
2026-05-22,600561.XSHG,buy,6.61,6.61,0.0,3000,3000,0,19830.0,19830.0,0.0,,,,exact_match,
2026-05-22,301167.XSHE,buy,16.48,16.48,0.0,1200,1200,0,19776.0,19776.0,0.0,,,,exact_match,
2026-05-22,600697.XSHG,buy,11.87,11.87,0.0,1700,1700,0,20179.0,20179.0,0.0,,,,exact_match,
2026-05-22,600493.XSHG,buy,7.01,7.01,0.0,2900,2900,0,20329.0,20329.0,0.0,,,,exact_match,
2026-05-22,300535.XSHE,buy,17.65,17.65,0.0,1100,1100,0,19415.0,19415.0,0.0,,,,exact_match,
2026-05-22,603879.XSHG,buy,5.34,5.34,0.0,3600,3600,0,19224.0,19224.0,0.0,,,,exact_match,
2026-05-27,300665.XSHE,sell,9.84,,,2300,0,-2300,22632.0,,,,,,missing_in_local,limit down
2026-05-27,300417.XSHE,sell,14.17,,,1100,0,-1100,15587.0,,,,,,missing_in_local,limit down
2026-05-27,300405.XSHE,sell,6.92,,,2800,0,-2800,19376.0,,,,,,missing_in_local,limit down
