tag,scenario,type,cagr,max_drawdown,max_drawdown_start,max_drawdown_end,sharpe,calmar,final_value,drawdown_reduction,return_sacrifice,pass_20pct_drawdown,recommended
r3_2024_202605_research,pos_100,position_scaling,0.5378495703152069,-0.24547501152867113,2024-05-20,2024-06-25,1.5342767745448214,2.19105629923715,2693218.8300000164,-3.3306690738754696e-16,0.0011435466808447092,False,False
r3_2024_202605_research,pos_80,position_scaling,0.4235991973693851,-0.199832356468035,2024-05-20,2024-06-25,1.4863902184374065,2.119772817857671,2254801.668408136,-0.04564265506063647,0.11539391962666645,True,True
r3_2024_202605_research,pos_60,position_scaling,0.31198019507033226,-0.15245443052648344,2024-05-20,2024-06-25,1.4198287887674594,2.0463832634640093,1868499.620474259,-0.09302058100218802,0.2270129219257193,True,True
r3_2024_202605_research,pos_50,position_scaling,0.2574011702699177,-0.12811637583286817,2024-05-20,2024-06-25,1.3740144894989186,2.009119978586544,1694419.1812784018,-0.11735863569580329,0.28159194672613386,True,True
r3_2024_202605_research,dd_breaker_10pct,drawdown_circuit_breaker,0.3434097366172324,-0.17972953180526474,2024-05-20,2024-06-25,1.2405762610157178,1.9107028943318765,1973131.9176712122,-0.06574547972340672,0.19558338037881917,True,True
r3_2024_202605_research,dd_breaker_8pct,drawdown_circuit_breaker,0.37613823418942927,-0.17972953180526507,2024-05-20,2024-06-25,1.3753083745324806,2.0928015024095807,2085527.520559814,-0.06574547972340639,0.1628548828066223,True,True
r3_2024_202605_research,monthly_loss_8pct,monthly_loss_protection,0.4770653460728209,-0.23447159174576804,2025-11-18,,1.493663990510728,2.0346402842272315,2454490.214699718,-0.011003419782903423,0.06192777092323065,False,False
r3_full_2020_202605_research,pos_100,position_scaling,0.48294697385465435,-0.2319894336738736,2024-05-20,2024-06-25,1.755578108506697,2.0817628036179103,11287258.869999925,3.3306690738754696e-16,0.00037727686242994274,False,False
r3_full_2020_202605_research,pos_80,position_scaling,0.37798296021213984,-0.18864917443129092,2024-05-20,2024-06-25,1.6859348399075087,2.0036290185293515,7186050.535238622,-0.043340259242582335,0.10534129050494445,True,True
r3_full_2020_202605_research,pos_60,position_scaling,0.2769929187540312,-0.1437723101773568,2024-05-20,2024-06-25,1.5955339371943527,1.9266082489203527,4499596.595235484,-0.08821712349651645,0.2063313319630531,True,True
r3_full_2020_202605_research,pos_50,position_scaling,0.2280652124068352,-0.12075914348651651,2024-05-20,2024-06-25,1.5353627291028025,1.8885958099918128,3538447.0072820378,-0.11123029018735675,0.2552590383102491,True,False
r3_full_2020_202605_research,dd_breaker_10pct,drawdown_circuit_breaker,0.339281167527419,-0.1698539808352122,2024-05-20,2024-06-25,1.4438047292399239,1.997487287958123,6031038.816949979,-0.062135452838661065,0.1440430831896653,True,True
r3_full_2020_202605_research,dd_breaker_8pct,drawdown_circuit_breaker,0.3394707402204282,-0.1698539808352122,2024-05-20,2024-06-25,1.4840659323750136,1.9986033800984253,6036291.55350255,-0.062135452838661065,0.14385351049665607,True,True
r3_full_2020_202605_research,monthly_loss_8pct,monthly_loss_protection,0.4559991591835435,-0.22921677043532362,2025-11-18,,1.7450506205345817,1.9893795655419086,10083249.237939073,-0.002772663238549633,0.02732509153354079,False,False
